id,name,streetAddress,city,state,zipCode,telephone,website,priceRange,category,ratingValue,neighborhood,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Good For,Parking,Attire,Ambience,Alcohol,Outdoor Seating,Wi-Fi,Waiter Service,Caters 
4044,South Philadelphia Tap Room,1509 Mifflin St,Philadelphia,PA,19145,(215) 271-7787,southphiladelphiataproom.com,$$,Gastropubs,4.0,Point Breeze,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
4045,Varalli,231 S Broad St,Philadelphia,PA,19107,(215) 546-6800,varalliusa.com,$$$,Italian,3.5,Washington Square West; Avenue of the Arts South,Yes,No,Yes,Yes,Dinner,Garage; Street; Validated,Casual,Romantic,Full Bar,No,No,Yes,No
4046,Thai Singha House,3900 Chesnut St,Philadelphia,PA,19104,(215) 382-8001,thaisinghahouse.com,$$,Thai,4.0,University City,Yes,Yes,Yes,Yes,Dinner,,Casual,Casual,No,No,No,Yes,
4047,Four Seasons Food Court,1614 Chestnut St,Philadelphia,PA,19103,(215) 496-0123,,$,Buffets;Grocery;Sandwiches,4.0,Rittenhouse Square; Penn Center,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,No,Free,No,Yes
4048,Tasty Place,143 N 11th St,Philadelphia,PA,19107,(215) 592-8990,,$,Chinese,4.0,Chinatown,No,No,Yes,No,Lunch,Street,Casual,Divey,No,No,No,Yes,No
4049,Time,1315 Sansom St,Philadelphia,PA,19107,(215) 985-4800,timerestaurant.net,$$,Lounges;American (New),3.5,Market East; Avenue of the Arts South,Yes,No,No,Yes,Dinner; Late Night,Street,Casual,Trendy,Full Bar,No,No,Yes,No
4050,Saad’s Halal Restaurant,4500 Walnut St,Philadelphia,PA,19139,(215) 222-7223,saadhalal.com,$,Halal;Middle Eastern,4.5,Walnut Hill; University City; Spruce Hill,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,No,No
4051,Fourth and Cross,1527 S 4th St,Philadelphia,PA,19147,(215) 551-5200,fourthandcross.com,$$,American (Traditional);Diners,4.5,,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,Yes,No,Yes,Yes
4052,Hickory Lane American Bistro,2025 Fairmount Ave,Philadelphia,PA,19130,(215) 769-2420,hickorylanebistro.com,$$,American (New);Breakfast & Brunch,3.5,Francisville; Fairmount,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
4053,M Kee,1002 Race St,Philadelphia,PA,19107,(215) 238-8883,,$,Chinese,4.0,Chinatown,No,No,Yes,No,Brunch,Street,Casual,Casual,No,No,No,Yes,Yes
4054,Fitzwater Cafe,728 S 7th St,Philadelphia,PA,19147,(215) 629-0428,,$$,Coffee & Tea;Sandwiches;Italian,4.0,Bella Vista,No,No,Yes,No,Brunch,Private Lot,Casual,Casual,No,No,No,Yes,No
4055,Street Food Philly,33rd and Arch St,Philadelphia,PA,19104,(267) 391-7539,,$$,Food Stands;Street Vendors,4.5,University City; Powelton Village,No,No,Yes,Yes,Lunch,,Casual,Trendy,No,Yes,No,No,Yes
4056,El Vez,121 S 13th St,Philadelphia,PA,19107,(215) 928-9800,elvezrestaurant.com,$$,Mexican;Breakfast & Brunch,4.0,Market East,Yes,No,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,No
4057,Hawthornes Biercafé,738 S 11th St,Philadelphia,PA,19147,(215) 627-3012,hawthornecafe.com,$$,"Beer, Wine & Spirits;Breakfast & Brunch;American (Traditional)",4.0,Bella Vista,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,No
4058,Cafe Ynez,2025 Washington Ave,Philadelphia,PA,19146,(215) 278-7579,cafeynez.com,$$,Mexican;Cafes,4.5,Graduate Hospital,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,No,Yes,Free,Yes,Yes
4059,Farmicia,15 S 3rd St,Philadelphia,PA,19146,(215) 627-6274,farmiciarestaurant.com,$$,American (New);Breakfast & Brunch,3.5,Old City,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
4060,SquareBurger,200 N 6th St,Philadelphia,PA,19106,(215) 629-4026,historicphiladelphia.org/squa…,$,American (Traditional);Burgers,3.5,,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,Yes,No,No,No
4061,Jane G’s,1930 Chestnut St,Philadelphia,PA,19103,(215) 563-8800,janegsrestaurant.com,$$,Szechuan;Shanghainese;Dim Sum,4.0,Rittenhouse Square; Penn Center,Yes,Yes,Yes,Yes,Dinner,Garage; Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
4062,Knock,225 S 12th St,Philadelphia,PA,19107,(215) 925-1166,knockphilly.com,$$,American (New);Gay Bars,3.5,Washington Square West,Yes,No,Yes,Yes,Dinner,,Casual,Casual,Full Bar,Yes,No,Yes,No
4063,Moonshine Philly,1825 E Moyamensing Ave,Philadelphia,PA,19148,(267) 639-9720,moonshinephilly.com,$$,Gastropubs;Pubs,4.0,Pennsport,Yes,No,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
4064,Xochitl,406 S 2nd St,Philadelphia,PA,19147,(215) 238-7280,xochitlphilly.com,$$$,Bars;Mexican,3.5,Society Hill,Yes,No,Yes,Yes,Dinner,Garage; Street; Validated,Casual,Casual,Full Bar,No,No,Yes,No
4065,Randazzo’s Pizzeria,1826 S St,Philadelphia,PA,19146,(215) 546-1566,,$,Pizza;Italian;Burgers,4.0,Rittenhouse Square,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,No,No,No,No
4066,Green Eggs Café,719 N 2nd St,Philadelphia,PA,19123,(215) 922-3447,greeneggscafe.com,$$,Breakfast & Brunch,3.5,Northern Liberties,No,No,Yes,No,Brunch,Street,Casual,Casual,No,Yes,No,Yes,Yes
4067,Yummy Yummy,52 N 10th St,Philadelphia,PA,19107,(215) 625-9188,,$,Chinese;Desserts,4.0,,No,No,Yes,No,Brunch,Street,Casual,Casual,No,No,No,No,No
4068,Revolution House,200 Market St,Philadelphia,PA,19106,(215) 625-4566,revolutionhouse.com,$$,"American (New);Beer, Wine & Spirits;Pizza",3.5,Old City,Yes,No,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,Yes,Free,Yes,No
4069,Union League of Philadelphia,140 S Broad St,Philadelphia,PA,19102,(215) 563-6500,unionleague.org,$$$$,Restaurants;Venues & Event Spaces,4.0,Rittenhouse Square; Penn Center; Avenue of the Arts South,Yes,No,No,Yes,Lunch,Street,Formal (Jacket Required),Classy,Full Bar,No,No,Yes,No
4070,Pete’s Pizza Joint,215 Chestnut St,Philadelphia,PA,19106,(215) 629-0150,,$,Pizza;Italian;Sandwiches,4.0,Old City,No,Yes,Yes,No,Late Night,Street,Casual,,No,No,No,No,No
4071,Cavanaugh’s Rittenhouse,1823 Sansom St,Philadelphia,PA,19103,(215) 665-9500,cavsrittenhouse.com,$$,Sports Bars;Gastropubs;Burgers,3.5,Rittenhouse Square; Penn Center,,No,Yes,Yes,Late Night,Garage; Street,Casual,Casual,Full Bar,,Free,Yes,No
4072,2nd Story Brewing Co,117 Chestnut St,Philadelphia,PA,19106,(267) 314-5770,2ndstorybrewing.com,$$,American (New);Breweries,4.0,Old City,Yes,No,Yes,Yes,Dinner; Late Night,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
4073,Barclay Prime,237 S. 18th Street,Philadelphia,PA,19103,(215) 732-7560,barclayprime.com,$$$$,Steakhouses,4.5,Rittenhouse Square,Yes,No,No,Yes,Dinner,Street,Dressy,Classy,Full Bar,No,No,Yes,No
4074,North Star Bar,2639 Poplar St,Philadelphia,PA,19130,(215) 787-0488,northstarbar.com,$$,Music Venues;Bars;American (New),3.5,Fairmount; Brewerytown,No,No,Yes,Yes,Late Night,Street,Casual,Divey; Casual,Full Bar,No,Free,Yes,No
4075,The Victoria Freehouse,10 S Front St,Philadelphia,PA,19106,(215) 543-6089,thevictoriafreehouse.com,$$,Pubs;British,4.0,Old City,Yes,No,Yes,Yes,Dinner; Late Night; Dessert,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
4076,Jim’s Steaks,400 South St,Philadelphia,PA,19147,(215) 928-1911,jimssouthstreet.com,$,Sandwiches;Cheesesteaks,3.5,South Street District; Society Hill,No,No,Yes,No,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
4077,Los Amigos Food Market,927 S 9th St,Philadelphia,PA,19147,(215) 625-0528,losamigosfoodmarket.com,$,Ethnic Food;Meat Shops;Mexican,5.0,Italian Market; Bella Vista,,,Yes,Yes,,,,,,,,,
4078,Cafe Cuong,811 S 8th St,Philadelphia,PA,19147,(215) 574-0527,,$,Vietnamese,4.0,Bella Vista,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,No,Yes
4079,La Fusion Restaurant Bar INC,2650 S 15th St,Philadelphia,PA,19145,(215) 279-7970,,$$,Thai;American (New);Sushi Bars,4.0,,Yes,No,Yes,Yes,Dinner; Late Night,Street,Casual,Intimate,Full Bar,No,No,Yes,No
4080,Le Virtu,1927 E Passyunk Ave,Philadelphia,PA,19148,(215) 271-5626,levirtu.com,$$$,Italian,4.0,,Yes,No,No,Yes,Dinner,Street,Casual,Intimate,Full Bar,Yes,No,Yes,No
4081,Lucha Cartel,207 Chestnut St,Philadelphia,PA,19106,(267) 368-7122,luchacartel.com,$$,Mexican;Bars;Breakfast & Brunch,3.5,Old City,Yes,Yes,Yes,Yes,Dinner,Street; Private Lot,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
4082,Benna’s Cafe,8th and Wharton St,Philadelphia,PA,19147,(215) 334-1502,,$,Coffee & Tea;Vegan;Breakfast & Brunch,4.0,,No,No,Yes,No,Breakfast,Street,Casual,Hipster,No,Yes,Free,No,No
4083,Paradise Restaurant & Pizza,104 W Girard Ave,Philadelphia,PA,19123,(215) 925-0240,,$,Pizza;Salad;Sandwiches,4.5,,No,No,Yes,Yes,Breakfast,Street,Casual,Casual,No,No,No,Yes,No
4084,Café Lutecia,2301 Lombard St,Philadelphia,PA,19146,(215) 790-9557,,$,French;Breakfast & Brunch,4.0,Rittenhouse Square; Fitler Square,No,No,Yes,No,Lunch,Street,Casual,Casual,No,Yes,No,Yes,No
4085,Lazaro’s Pizzeria & Grill,1743 South St,Philadelphia,PA,19146,(215) 545-2775,lazarospizzaandgrill.com,$,Pizza;Italian;Sandwiches,4.0,Rittenhouse Square,No,Yes,Yes,No,Lunch; Dinner,Street,Casual,Casual,No,No,No,No,Yes
4086,New York Gyro Halal Food Cart,SE Corner of 11th St and Walnut St,Philadelphia,PA,19107,,,$,Food Stands,4.5,Market East,No,No,Yes,No,Lunch,,Casual,Casual,No,No,No,No,No
4087,Vineyards Cafe,847 N 16th St,Philadelphia,PA,19130,(215) 232-3000,vineyardscafe.com,$,Creperies;Coffee & Tea;Breakfast & Brunch,5.0,Francisville; Fairmount,No,No,Yes,Yes,Breakfast,,Casual,,No,Yes,Free,,
4088,Archies’s Restaurant,1030 S 8th St,Philadelphia,PA,19147,(215) 925-1701,,$,Mexican,4.0,Bella Vista,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,,Yes,Free,Yes,
4089,Marigold Kitchen,501 S 45th St,Philadelphia,PA,19104,(215) 222-3699,marigoldkitchenbyob.com,$$$,American (New),4.0,,Yes,No,No,Yes,Dinner,Street,Casual,Intimate; Romantic,No,No,Free,Yes,No
4090,Honeygrow,110 S 16th St,Philadelphia,PA,19103,(215) 279-7724,honeygrow.com,$$,Juice Bars & Smoothies;Salad,3.5,Rittenhouse Square; Penn Center,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,No
4091,Chattime,3608 Chestnut St,Philadelphia,PA,19104,(215) 382-5555,,$$,Japanese,4.0,University City,Yes,No,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
4092,Hummus Grill,212 S 11th St,Philadelphia,PA,19107,(267) 858-4634,hummusrestaurant.com,$,Mediterranean;Middle Eastern,3.5,Washington Square West; Market East,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,Free,No,Yes
4093,Buddakan,325 Chesnut St,Philadelphia,PA,19106,(215) 574-9440,buddakan.com,$$$,Asian Fusion;Chinese,4.0,Old City,Yes,No,Yes,Yes,Dinner,Street,Dressy,Trendy,Full Bar,No,No,Yes,No
4094,Koja Grille,1600 N Broad St,Philadelphia,PA,19121,(215) 763-5652,kojagrille.com,$$,Korean;Japanese,3.5,Templetown; Avenue of the Arts North,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,No
4095,La Rosa Pizzeria,2106 S Broad St,Philadelphia,PA,19145,(215) 271-5246,,$,Pizza,4.5,,No,Yes,Yes,No,Lunch,Street,Casual,Divey,No,No,No,No,No
4096,New Wave Cafe,784 S 3rd St,Philadelphia,PA,19147,(215) 922-8484,newwavecafe.com,$$,American (Traditional);Bars,3.5,Queen Village,No,No,Yes,Yes,Dinner; Late Night,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
4097,Mama Palma’s Gourmet Pizza,2229 Spruce St,Philadelphia,PA,19103,(215) 735-7357,,$$,Pizza;Italian,3.5,Rittenhouse Square; Fitler Square,No,No,Yes,No,Dinner,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,No
4098,Tortilleria San Roman,951 S 9th St,Philadelphia,PA,19147,(267) 507-9161,,$,Mexican,5.0,Italian Market; Bella Vista,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,No,No
4099,a.kitchen,135 S 18th St,Philadelphia,PA,19103,(215) 825-7030,akitchenandbar.com,$$$,American (New);Breakfast & Brunch,3.5,Rittenhouse Square; Penn Center,Yes,No,No,Yes,Dinner,Street,Casual,Trendy,Full Bar,Yes,Free,Yes,No
4100,Jovan’s Place,2327 E York St,Philadelphia,PA,19125,(215) 634-3330,jovansplace.com,$$,American (New);Austrian,4.0,Kensington,No,No,Yes,No,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
4101,Good Stuff Eatery,108 S 18th St,Philadelphia,PA,19103,(267) 928-2848,goodstuffeatery.com,$$,Burgers,3.5,Rittenhouse Square; Penn Center,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,No,No
4102,Pine St Deli,1613 Pine St,Philadelphia,PA,19103,(215) 545-8985,,$,Delis;Sandwiches,4.0,Rittenhouse Square,No,No,Yes,No,Lunch,Street,Casual,,Beer & Wine Only,No,No,No,No
4103,Fond,1537 S 11th St,Philadelphia,PA,19147,(215) 551-5000,fondphilly.com,$$$,American (New),4.5,,Yes,No,No,Yes,Dinner,Valet; Street,Casual,Romantic,Full Bar,Yes,No,Yes,No
4104,Penang,117 N 10th St,Philadelphia,PA,19107,(215) 413-2531,penangusa.com,$$,Malaysian;Cambodian,4.0,Chinatown,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
4105,MexiCali,38th & Walnut,Philadelphia,PA,19104,(215) 222-2667,,$,Mexican;Food Trucks,4.5,University City,No,No,Yes,No,Lunch,,Casual,,No,No,No,No,No
4106,Rustica,903 N 2nd St,Philadelphia,PA,19123,(215) 627-1393,rusticaphilly.com,$,Pizza;Italian;Sandwiches,4.0,Northern Liberties,No,Yes,Yes,Yes,Lunch; Dinner,Street,Casual,Hipster,No,Yes,No,No,Yes
4107,Cafe Square One,50 S 3rd St,Philadelphia,PA,19106,(215) 645-2712,cafesquareone.com,$,Sandwiches;Sushi Bars,4.5,Old City,No,Yes,Yes,Yes,Brunch,Street,Casual,Casual,No,No,Free,No,Yes
4108,Little Fish,746 S 6th St,Philadelphia,PA,19147,(267) 455-0172,littlefishbyob.com,$$$,Seafood,4.5,Bella Vista,Yes,No,No,Yes,Dinner,Street,Casual,Intimate,No,Yes,No,Yes,No
4109,Taqueria El Maguey,1538 S 10th St,Philadelphia,PA,19147,(267) 528-3296,,$,Mexican,4.0,,No,Yes,Yes,Yes,Lunch; Dinner,Street,Casual,Divey,No,No,No,No,No
4110,Pizza Brain,2313 Frankford Ave,Philadelphia,PA,19125,(215) 291-2965,pizzabrain.org,$$,Pizza,4.0,,No,Yes,Yes,No,Lunch; Dinner,Street,Casual,Hipster,Beer & Wine Only,Yes,No,No,Yes
4111,Red Owl Tavern,433 Chestnut St,Philadelphia,PA,19106,(215) 923-2267,redowltavern.com,$$,American (New);Breakfast & Brunch,3.5,,Yes,No,Yes,Yes,Brunch,Valet; Street; Validated,Casual,Trendy,Full Bar,Yes,Free,Yes,No
4112,Crazy Sushi,1837 Chestnut St,Philadelphia,PA,19103,(215) 988-0398,crazysushiphiladelphia.com,$$,Japanese;Sushi Bars,4.0,Rittenhouse Square; Penn Center,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Trendy,No,No,No,Yes,No
4113,Dickey’s Barbecue Pit,650 South Street,Philadelphia,PA,19147,(267) 273-0364,dickeys.com,$$,Barbeque,4.0,South Street District; Society Hill,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
4114,Italiano’s,2551 S 12th St,Philadelphia,PA,19148,(215) 465-1780,,$,Italian;Ice Cream & Frozen Yogurt;Desserts,5.0,,No,No,Yes,No,Dessert,Street,Casual,Casual,No,Yes,No,No,No
4115,BRÜ Craft & Wurst,1318 Chestnut St,Philadelphia,PA,19107,(215) 800-1079,bruphilly.com,$$,Bars;German,3.5,Market East; Avenue of the Arts South,Yes,No,No,Yes,Lunch,Street,Casual,Trendy,Full Bar,Yes,Free,Yes,No
4116,Devil’s Pocket Food & Spirits,2425 Greys Ferry Ave,Philadelphia,PA,19146,(215) 735-2202,devilspocketphilly.com,$$,American (New);Pubs,4.0,Graduate Hospital; Grays Ferry,Yes,No,Yes,Yes,Late Night,Street,Casual,Casual,Full Bar,No,No,Yes,No
4117,Mad Greek Restaurant and Pizza,3517 Lancaster Ave,Philadelphia,PA,19104,(215) 222-2739,madgreekphilly.com,$,Pizza;Greek,4.0,University City; Powelton Village,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
4118,Sláinte Pub & Grill,3000 Market Street,Philadelphia,PA,19104,(215) 222-7400,slaintephilly.com,$$,Pubs;Restaurants,3.5,University City,No,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,No,No,,
4119,Hershel’s East Side Deli,Reading Terminal Market 12th & Arch,Philadelphia,PA,19176,(215) 922-6220,,$,Delis;Sandwiches,4.5,,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,No
4120,Square One Coffee,249 S 13th St,Philadelphia,PA,19107,(267) 758-6352,squareonecoffee.com,$,Coffee & Tea;Cafes,4.5,Washington Square West,No,No,Yes,Yes,Breakfast,Street,Casual,Casual,No,Yes,Free,No,No
4121,Mazza Healthy Mediteranean,1100 Jackson St,Philadelphia,PA,19148,(215) 952-2600,,$$,Mediterranean,4.0,,No,Yes,Yes,Yes,Lunch; Dinner,Street,Casual,Casual,No,No,No,Yes,Yes
4122,Zavino,112 S 13th St,Philadelphia,PA,19107,(215) 732-2400,zavino.com,$$,Italian;Wine Bars;Pizza,4.0,Market East; Avenue of the Arts South,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
4123,Gennaro’s Pizza,1315 Bainbridge St,Philadelphia,PA,19147,(215) 545-0209,gennarospizzaphilly.com,$,Pizza,3.5,Bella Vista; Avenue of the Arts South,No,Yes,Yes,Yes,Dinner,,Casual,Casual,No,No,,No,No
4124,Blue Cat Restaurant,1921 Fairmount Ave,Philadelphia,PA,19130,(267) 519-2911,bluecatrestaurant.com,$$,Latin American,4.0,Francisville; Fairmount,Yes,No,Yes,No,Dinner,Street,Casual,Casual,No,Yes,Free,Yes,Yes
4125,Cafe Olé,147 N 3rd St,Philadelphia,PA,19106,(215) 627-2140,,$,Coffee & Tea;Mediterranean,4.0,Old City,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,Yes,Free,No,No
4126,Mekong River,1120 - 1124 Front St,Philadelphia,PA,19147,(215) 467-6100,mekongriverphilly.com,$$,Vietnamese,4.0,Pennsport,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,Free,Yes,No
4127,Bitar’s,947 Federal St,Philadelphia,PA,19147,(215) 755-1121,bitars.com,$,Middle Eastern;Greek,4.0,,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,Yes,Free,No,Yes
4128,JG Domestic,2929 Arch St,Philadelphia,PA,19104,(215) 222-2363,jgdomestic.com,$$$,American (New);Burgers;American (Traditional),3.5,University City,Yes,Yes,Yes,Yes,Dinner,Garage; Validated,Casual,Trendy,Full Bar,No,No,Yes,Yes
4129,Grubhouse,2340 S Hemberger St,Philadelphia,PA,19145,(215) 334-3525,,$,Breakfast & Brunch;American (Traditional);Comfort Food,4.5,,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Casual,No,No,Free,Yes,Yes
4130,Nick’s Old Original Roast Beef,2149 S 20th St,Philadelphia,PA,19145,(215) 463-4114,nicksroastbeef.com,$,Dive Bars;Sandwiches,4.5,,No,No,Yes,Yes,Lunch; Dinner,Street,Casual,Divey,Full Bar,No,No,Yes,No
4131,Los Gallos Mexican Taqueria,951 Wolf St,Philadelphia,PA,19148,(267) 571-5719,losgallosmexicantaqueria.com,$,Mexican,4.5,,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,No,No,Yes,Yes
4132,Vietnam Restaurant,221 N 11th St,Philadelphia,PA,19107,(215) 592-1163,eatatvietnam.com,$$,Vietnamese,4.0,Chinatown,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
4133,Little Italy Pizza,901 South St,Philadelphia,PA,19147,(215) 922-1440,golittleitalypizza.com,$,Pizza;Italian;Sandwiches,4.0,Italian Market; Bella Vista,No,Yes,Yes,Yes,Lunch; Dinner,Street,Casual,Casual,No,Yes,No,No,Yes
4134,McCrossen’s Tavern,529 N 20th St,Philadelphia,PA,19130,(215) 854-0923,mccrossens.com,$$,American (Traditional);Gastropubs,3.5,Spring Garden; Fairmount; Art Museum District; Logan Square,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
4135,Maoz Vegetarian,1115 Walnut St,Philadelphia,PA,19107,(215) 922-3409,maozusa.com,$,Vegetarian;Juice Bars & Smoothies;Caterers,4.0,Market East,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,Free,No,Yes
4136,Joe’s Pizza,122 S 16th St,Philadelphia,PA,19102,(215) 569-0898,joespizzaslice.com,$,Pizza,3.5,Rittenhouse Square; Penn Center,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,No
4137,Caffe Valentino,1245 S 3rd St,Philadelphia,PA,19147,(215) 336-3033,caffevalentino.com,$$$,Italian,3.5,Pennsport,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,No,Yes,No,Yes,Yes
4138,Raindrop Cafe,1900 Market St,Philadelphia,PA,19103,(215) 569-3836,,$,Sandwiches;Juice Bars & Smoothies;Coffee & Tea,4.0,Rittenhouse Square; Penn Center,No,No,Yes,Yes,Lunch,Street,Casual,,No,No,No,No,
4139,Franky Bradley’s,1320 Chancellor St,Philadelphia,PA,19107,(215) 735-0735,frankybradleys.com,$$,Bars;American (Traditional);Music Venues,4.5,Washington Square West; Avenue of the Arts South,Yes,No,Yes,Yes,Late Night,Garage; Street; Private Lot,Casual,Casual,Full Bar,No,No,Yes,No
4140,Chhaya Cafe,1819 E Passyunk Ave,Philadelphia,PA,19148,(215) 465-1000,chhayacafe.com,$$,Coffee & Tea;Breakfast & Brunch,4.0,,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,Yes,Free,Yes,No
4141,Tria Taproom,2005 Walnut Street,Philadelphia,PA,19103,(215) 557-8277,triataproom.com,$$,Wine Bars;American (New),4.5,Rittenhouse Square; Penn Center,No,No,No,Yes,Late Night,Street,Casual,Trendy,Beer & Wine Only,Yes,Free,Yes,No
4142,Tap Room On 19th,2400 S 19th St,Philadelphia,PA,19145,(267) 687-7817,taproomon19th.com,$$,American (New);Gastropubs,4.5,Girard Estate,No,No,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
4143,Dan Dan,126 S 16th St,Philadelphia,PA,19102,(215) 800-1165,,$$,Chinese;Taiwanese,4.0,Rittenhouse Square; Penn Center,Yes,No,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
4144,Locust Rendezvous,1415 Locust St,Philadelphia,PA,19102,(215) 985-1163,locustrendezvous.com,$,Dive Bars;Salad,4.0,Rittenhouse Square; Avenue of the Arts South,No,No,Yes,Yes,Late Night,Street,Casual,Divey,Full Bar,No,Free,Yes,No
4145,Hibachi 2 Go,1414 Synder Ave,Philadelphia,PA,19145,(215) 336-8646,,$,Sushi Bars;Japanese,4.0,,No,Yes,Yes,No,Lunch; Dinner,Street,Casual,Casual,No,No,No,No,Yes
4146,Dimitrio & Frida’s Food Cart,S 33rd St and Walnut St,Philadelphia,PA,19104,,,$,Food Stands;Sandwiches;Food Trucks,5.0,University City,No,No,Yes,No,,,Casual,,No,No,,No,
4147,Federal Donuts,3428 Sansom St,Philadelphia,PA,19104,(267) 275-8489,federaldonuts.com,$,Donuts;Coffee & Tea;Comfort Food,4.0,University City,No,No,Yes,Yes,Breakfast,Street,Casual,Casual,No,Yes,No,No,No
4148,Manita Burrito,1925 Fairmount Ave,Philadelphia,PA,19130,(267) 514-7145,manitaburrito.com,,Tex-Mex,5.0,Francisville; Fairmount,No,No,Yes,Yes,,,,,,,,,
4149,Kai Japanese Cuisine,12 S 10th St,Philadelphia,PA,19107,(267) 928-4505,kaiphilly.com,$$,Japanese;Sushi Bars,4.0,Market East,Yes,Yes,Yes,Yes,Lunch; Dessert,Garage; Street,Casual,Casual,No,No,Free,Yes,Yes
4150,Sky Cafe,1540 W Ritner St,Philadelphia,PA,19145,(215) 271-1983,skycafephilly.wix.com/skycafe…,$,Indonesian,4.5,,No,Yes,Yes,No,Dinner,Street,Casual,Casual,No,No,No,Yes,No
4151,Tierra Colombiana,4535 N 5th St,Philadelphia,PA,19140,(215) 324-6086,tierranightclub.net,$$,Latin American;Bars;Dance Clubs,4.0,Juniata,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
4152,Watkins Drinkery,1712 S 10th St,Philadelphia,PA,19148,(215) 339-0175,,$$,Gastropubs;Vegan,4.0,,No,No,Yes,Yes,Dinner; Late Night,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
4153,Smokin Bettys,116 S 11th St,Philadelphia,PA,19107,(215) 922-6500,smokinbettys.com,$$,Barbeque;Bars;American (New),3.5,Market East,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
4154,City Tap House,"Radian Balcony 3925 Walnut St, Fl 2",Philadelphia,PA,19104,(215) 662-0105,citytaphouse.com,$$,American (New);Pubs,3.5,University City,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
4155,Liberty Chicken,111 S Independence Mall E 21 S 5th St,Philadelphia,PA,19106,(215) 922-1960,,$,Asian Fusion;Chicken Wings;Thai,4.5,,No,No,Yes,Yes,Lunch,Garage; Street,Casual,,No,No,Free,No,No
