ID,title,year,director,writer,actor
1493,Match Point,2005,Woody Allen,Woody Allen,Jonathan Rhys Meyers;Scarlett Johansson;Emily Mortimer;Brian Cox
1494,Back to the Future Part III,1990,Robert Zemeckis,Bob Gale;Robert Zemeckis,Michael J. Fox;Christopher Lloyd;Mary Steenburgen;Thomas F. Wilson
1495,Jack-Jack Attack,2005,Brad Bird,Brad Bird;Teddy Newton;Mark Andrews;Rob Gibbs;Bosco Ng,Bud Luckey;Eli Fucile;Jason Lee;Bret 'Brook' Parker
1496,Gangs of New York,2002,Martin Scorsese,Jay Cocks;Steven Zaillian;Kenneth Lonergan,Leonardo DiCaprio;Daniel Day-Lewis;Cameron Diaz;Liam Neeson
1497,Herbie Fully Loaded,2005,Angela Robinson,Thomas Lennon;Ben Garant;Alfred Gough;Miles Millar;Mark Perez,Lindsay Lohan;Michael Keaton;Matt Dillon;Breckin Meyer
1498,R.L. Stine's Monsterville: The Cabinet of Souls,2015,Peter DeLuise,Dan Angel;Billy Brown,Dove Cameron;Katherine McNamara;Ryan McCartan;Laine MacNeil
1499,Golden Shoes,2015,,,Eric Roberts;Vivica A. Fox;John Rhys-Davies;David DeLuise
1500,Casino,1995,Martin Scorsese,Martin Scorsese;Nicholas Pileggi,Robert De Niro;Sharon Stone;Joe Pesci;James Woods
1501,Trick 'r Treat,2007,Michael Dougherty,Michael Dougherty,Anna Paquin;Brian Cox;Leslie Bibb;Rochelle Aytes
1502,Calculator,2014,Aleksandr Gromov,Aleksandr Gromov,Evgeny Mironov;Vinnie Jones;Anna Chipovskaya;Vladas Bagdonas
1503,Return to Sender,2015,Fouad Mikati,Patricia Beauchamp;Joe Gossett,Rosamund Pike;Rumer Willis;Nick Nolte;Scout Taylor-Compton
1504,Hotel Rwanda,2004,Terry George,Keir Pearson;Terry George,Don Cheadle;Nick Nolte;Sophie Okonedo;Joaquin Phoenix
1505,Spy Kids,2001,Robert Rodriguez,Robert Rodriguez,Antonio Banderas;Carla Gugino;Alexa PenaVega;Daryl Sabara
1506,Mommy,2014,Xavier Dolan,Xavier Dolan,Anne Dorval;Antoine-Olivier Pilon;Suzanne Clément;Patrick Huard
1507,I Spy,2002,Betty Thomas,Cormac Wibberley;Marianne Wibberley;David Ronn,Eddie Murphy;Owen Wilson;Famke Janssen;Keith Dallas
1508,Big Nothing,2006,Jean-Baptiste Andrea,Jean-Baptiste Andrea;Billy Asher,David Schwimmer;Simon Pegg;Natascha McElhone;Jon Polito
1509,Friday the 13th,1980,Sean S. Cunningham,Victor Miller;Sean S. Cunningham,Betsy Palmer;Adrienne King;Harry Crosby;Laurie Bartram
1510,Rambo,2008,Sylvester Stallone,Art Monterastelli;Sylvester Stallone,Sylvester Stallone;Julie Benz;Matthew Marsden;Reynaldo Gallegos
1511,Return to Never Land,2002,Robin Budd;Donovan Cook,Temple Mathews,Harriet Owen;Blayne Weaver;Jeff Bennett;Kath Soucie
1512,The Selfish Giant,2013,Clio Barnard,Clio Barnard,Conner Chapman;Shaun Thomas;Sean Gilder;Lorraine Ashbourne
1513,Embrace of the Vampire,1995,Anne Goursaud,Halle Eaton;Nicole Coady;Rick Bitzelberger,Alyssa Milano;Martin Kemp;Harold Pruett;Rachel True
1514,Pleasantville,1998,Gary Ross,Gary Ross,Tobey Maguire;Reese Witherspoon;William H. Macy;Joan Allen
1515,TMNT,2007,Kevin Munroe,Kevin Munroe,Chris Evans;Sarah Michelle Gellar;Mako;Kevin Smith
1516,In Bruges,2008,Martin McDonagh,Martin McDonagh,Colin Farrell;Brendan Gleeson;Ralph Fiennes;Clémence Poésy
1517,What We Do in the Shadows,2014,Jemaine Clement;Taika Waititi,Jemaine Clement;Taika Waititi,Taika Waititi;Jemaine Clement;Jonathan Brugh;Cori Gonzalez-Macuer
1518,Southland Tales,2006,Richard Kelly,Richard Kelly,Dwayne Johnson;Seann William Scott;Sarah Michelle Gellar;Mandy Moore
1519,What Dreams May Come,1998,Vincent Ward,Ronald Bass;Richard Matheson,Robin Williams;Cuba Gooding Jr.;Annabella Sciorra;Max von Sydow
1520,Never Say Never Again,1983,Irvin Kershner,Kevin McClory,Sean Connery;Kim Basinger;Klaus Maria Brandauer;Barbara Carrera
1521,The Other Guys,2010,Adam McKay,Chris Henchy;Adam McKay,Will Ferrell;Mark Wahlberg;Eva Mendes;Samuel L. Jackson
1522,We Are Your Friends,2015,Max Joseph,Max Joseph;Meaghan Oppenheimer,Zac Efron;Emily Ratajkowski;Wes Bentley;Nick Rotteveel
1523,John Tucker Must Die,2006,Betty Thomas,Jeff Lowell,Jesse Metcalfe;Brittany Snow;Sophia Bush;Arielle Kebbel
1524,Band of Brothers,2001,,Stephen Ambrose,Damian Lewis;Ron Livingston;Frank John Hughes;Frank John Hughes
1525,The Girl King,2015,Mika Kaurismäki,Michel Marc Bouchard,Malin Buska;Sarah Gadon;Michael Nyqvist;Lucas Bryant
1526,'71,2014,Yann Demange,Gregory Burke,Jack O'Connell;Paul Anderson;Sean Harris;Sam Reid
1527,Rango,2011,Gore Verbinski,John Logan;Gore Verbinski;James Ward Byrkit,Johnny Depp;Isla Fisher;Ned Beatty;Bill Nighy
1528,Tremors 3: Back to Perfection,2001,Brent Maddock,S. S. Wilson;Brent Maddock;Nancy Roberts,Michael Gross;Shawn Christian;Susan Chuang;Charlotte Stewart
1529,Jackass 3.5,2011,Jeff Tremaine,,Jason Acuña;Johnny Knoxville;Ryan Dunn;Dave England
1530,Ominous,2015,Peter Sullivan,Peter Sullivan;Chris Regina,Barry Watson;Esmé Bianco;Gavin Lewis;Mark Lindsay Chapman
1531,The Seeker: The Dark Is Rising,2007,David L. Cunningham,Susan Cooper;John Hodge,Ian McShane;Christopher Eccleston;Gregory Smith;Jonathan Jackson
1532,Johnny English,2003,Peter Howitt,Neal Purvis;Robert Wade;William Davies;Peter Howitt,Rowan Atkinson;John Malkovich;Natalie Imbruglia;Tasha de Vasconcelos
1533,Cobra,1986,George P. Cosmatos,Paula Gosling;Sylvester Stallone,Sylvester Stallone;Brigitte Nielsen;Reni Santoni;Andrew Robinson
1534,Irreversible,2002,Gaspar Noé,Gaspar Noé,Monica Bellucci;Vincent Cassel;Albert Dupontel;Jo Prestia
1535,Colombiana,2011,Olivier Megaton,Luc Besson;Robert Mark Kamen,Zoe Saldana;Cliff Curtis;Callum Blue;Michael Vartan
1536,Ben-Hur,1959,William Wyler,Lew Wallace;Karl Tunberg,Charlton Heston;Jack Hawkins;Haya Harareet;Stephen Boyd
1537,Home Alone 3,1997,Raja Gosnell,John Hughes,Alex D. Linz;Olek Krupa;Rya Kihlstedt;Lenny Von Dohlen
1538,Young Frankenstein,1974,Mel Brooks,Mary Shelley;Gene Wilder;Mel Brooks,Gene Wilder;Marty Feldman;Teri Garr;Madeline Kahn
1540,Silent Hill,2006,Christophe Gans,Roger Avary,Radha Mitchell;Sean Bean;Laurie Holden;Deborah Kara Unger
1541,Junun,2015,Paul Thomas Anderson,,Shye Ben Tzur
1542,The Blue Lagoon,1980,Randal Kleiser,Henry De Vere Stacpoole;Douglas Day Stewart,Brooke Shields;Christopher Atkins;Leo McKern;William Daniels
1543,Jonah Hex,2010,Jimmy Hayward,Mark Neveldine;Brian Taylor;William Farmer,Megan Fox;Josh Brolin;John Malkovich;Michael Shannon
1544,Little Children,2006,Todd Field,Tom Perrotta;Todd Field,Kate Winslet;Patrick Wilson;Jennifer Connelly;Gregg Edelman
1545,Crash,2004,Paul Haggis,Paul Haggis;Robert Moresco,Sandra Bullock;Don Cheadle;Matt Dillon;Michael Peña
1546,North by Northwest,1959,Alfred Hitchcock,Ernest Lehman,Cary Grant;Eva Marie Saint;James Mason;Jessie Royce Landis
1547,The X Files,1998,Rob Bowman,Chris Carter;Frank Spotnitz,David Duchovny;Gillian Anderson;Mitch Pileggi;William B. Davis
1548,21 & Over,2013,Scott Moore;Jon Lucas,Jon Lucas,Miles Teller;Skylar Astin;Justin Chon;Sarah Wright
1549,Idiocracy,2006,Mike Judge,Mike Judge;Etan Cohen,Luke Wilson;Maya Rudolph;Dax Shepard;Terry Crews
1550,Beowulf,2007,Robert Zemeckis,Roger Avary;Neil Gaiman,Ray Winstone;Angelina Jolie;Anthony Hopkins;Robin Wright
1551,My Sister's Keeper,2009,Nick Cassavetes,Jodi Picoult;Jeremy Leven;Nick Cassavetes,Cameron Diaz;Alec Baldwin;Abigail Breslin;Joan Cusack
1552,Moulin Rouge!,2001,Baz Luhrmann,Baz Luhrmann;Craig Pearce,Nicole Kidman;Ewan McGregor;John Leguizamo;Jim Broadbent
1553,I'm for the Hippopotamus,1979,Italo Zingarelli,Italo Zingarelli;Barbara Alberti;Amedeo Pagani;Vincenzo Mannino,Terence Hill;Bud Spencer;Joe Bugner;May Dlamini
1554,Counselor week at Camp Liberty,2014,Steven Vasquez,Chica Gomez;Steven Vasquez,Addison Graham;Brandon Rife;Gregory Michaels;Dustin Schroeder
1555,Wayne's World 2,1993,Stephen Surjik,Mike Myers;Bonnie Turner;Terry Turner,Mike Myers;Dana Carvey;Christopher Walken;Tia Carrere
1556,Tinker Bell,2008,Bradley Raymond,J.M. Barrie;Jeffrey M. Howard;Bradley Raymond,Mae Whitman;Kristin Chenoweth;Raven-Symoné;Lucy Liu
1557,Mythica: The Darkspore,2015,Anne K. Black,Anne K. Black,Melanie Stone;Kevin Sorbo;Adam Johnson;Jake Stormoen
1558,Dark Places,2015,Gilles Paquet-Brenner,Gilles Paquet-Brenner;Gillian Flynn,Charlize Theron;Chloë Grace Moretz;Nicholas Hoult;Christina Hendricks
1559,Lilo & Stitch 2: Stitch has a Glitch,2005,Michael LaBash;Anthony Leondis,Eddie Guzelian;Alexa Junge;Michael LaBash;Anthony Leondis,Tia Carrere;Matt Corboy;Dakota Fanning;Jillian Henry
1560,Spawn,1997,Mark A.Z. Dippé,Todd McFarlane;Alan B. McElroy,Michael Jai White;Martin Sheen;John Leguizamo;Theresa Randle
1561,Meet the Spartans,2008,Jason Friedberg;Aaron Seltzer,Jason Friedberg;Aaron Seltzer,Sean Maguire;Carmen Electra;Ken Davitian;Kevin Sorbo
1562,Jane Eyre,2011,Cary Fukunaga,Charlotte Brontë;Moira Buffini,Mia Wasikowska;Jamie Bell;Michael Fassbender;Judi Dench
1563,Inkheart,2008,Iain Softley,Cornelia Funke;David Lindsay-Abaire,Brendan Fraser;Sienna Guillory;Andy Serkis;Eliza Bennett
1564,Timeline,2003,Richard Donner,Jeff Maguire;George Nolfi;Michael Crichton,Paul Walker;Frances O'Connor;Gerard Butler;Billy Connolly
1565,Saw III,2006,Darren Lynn Bousman,Leigh Whannell,Tobin Bell;Shawnee Smith;Angus Macfadyen;Bahar Soomekh
1566,Bedside Dentist,1971,John Hilbard,Finn Henriksen;John Hilbard;Soya,Ole Søltoft;Birte Tove;Annie Birgit Garde;Carl Ottosen
1567,Killer Elite,2011,Gary McKendry,Gary McKendry;Ranulph Fiennes,Jason Statham;Clive Owen;Robert De Niro;Dominic Purcell
1568,Lionheart,1990,Sheldon Lettich,Sheldon Lettich;Jean-Claude Van Damme,Jean-Claude Van Damme;Harrison Page;Deborah Rennard;Ashley Johnson
1569,Eden,2014,Shyam Madiraju,Mark Mavrothalasitis,Jessica Lowndes;James Remar;Sung Kang;Diego Boneta
1570,Suicide Squad,2016,David Ayer,Justin Marks,Jared Leto;Will Smith;Margot Robbie;Jai Courtney
1571,The Magnificent Seven,1960,John Sturges,William Roberts,Yul Brynner;Eli Wallach;Steve McQueen;Charles Bronson
1572,Bride of Chucky,1998,Ronny Yu,Don Mancini,Ed Gale;Jennifer Tilly;Brad Dourif;Katherine Heigl
1573,Con Air,1997,Simon West,Scott Rosenberg,Nicolas Cage;John Cusack;John Malkovich;Ving Rhames
1574,The Spectacular Now,2013,James Ponsoldt,Tim Tharp;Scott Neustadter;Michael H. Weber,Miles Teller;Shailene Woodley;Brie Larson;Masam Holden
1575,Freaky Friday,2003,Mark Waters,Heather Hach;Leslie Dixon,Jamie Lee Curtis;Lindsay Lohan;Mark Harmon;Harold Gould
1576,Saw IV,2007,Darren Lynn Bousman,Patrick Melton;Marcus Dunstan,Tobin Bell;Scott Patterson;Costas Mandylor;Betsy Russell
1577,Rise of the Guardians,2012,Peter Ramsey,William Joyce;David Lindsay-Abaire,Chris Pine;Alec Baldwin;Jude Law;Isla Fisher
1578,Vanilla Sky,2001,Cameron Crowe,Cameron Crowe,Tom Cruise;Penélope Cruz;Cameron Diaz;Kurt Russell
1579,Deep Impact,1998,Mimi Leder,Bruce Joel Rubin;Michael Tolkin,Robert Duvall;Téa Leoni;Elijah Wood;Vanessa Redgrave
1580,The Naked Gun: From the Files of Police Squad!,1988,David Zucker,Jerry Zucker;Jim Abrahams;David Zucker;Pat Proft,Leslie Nielsen;Priscilla Presley;Ricardo Montalban;George Kennedy
1581,Broken Arrow,1996,John Woo,Graham Yost,John Travolta;Christian Slater;Samantha Mathis;Delroy Lindo
1582,Commando,1985,Mark L. Lester,Steven E. de Souza;Jeph Loeb;Matthew Weisman,Arnold Schwarzenegger;Rae Dawn Chong;Dan Hedaya;Vernon Wells
1583,The To Do List,2013,Maggie Carey,Maggie Carey,Aubrey Plaza;Johnny Simmons;Bill Hader;Alia Shawkat
1584,American Gangster,2007,Ridley Scott,Steven Zaillian,Denzel Washington;Russell Crowe;Chiwetel Ejiofor;Josh Brolin
1585,Much Ado About Nothing,1993,Kenneth Branagh,Kenneth Branagh,Kenneth Branagh;Richard Briers;Michael Keaton;Robert Sean Leonard
1587,All Is Lost,2013,J.C. Chandor ,J.C. Chandor ,Robert Redford
1588,Showgirls,1995,Paul Verhoeven,Joe Eszterhas,Elizabeth Berkley;Kyle MacLachlan;Gina Gershon;Glenn Plummer
1589,The Call,2013,Brad Anderson,Richard D'Ovidio;Nicole D'Ovidio;Jon Bokenkamp,Halle Berry;Abigail Breslin;Morris Chestnut;Michael Imperioli
1590,Lady and the Tramp II: Scamp's Adventure,2001,Darrell Rooney;Jeannine Roussel,Bill Motz;Bob Roth;Tom Rogers;Flip Kobler;Cindy Marcus,Scott Wolf;Alyssa Milano;Chazz Palminteri;Jeff Bennett
1591,The Grudge 2,2006,Takashi Shimizu,Stephen Susco,Sarah Michelle Gellar;Amber Tamblyn;Edison Chen;Arielle Kebbel
1592,The Inhabitants,2015,Shawn Rasmussen;Michael Rasmussen,Shawn Rasmussen;Michael Rasmussen,Elise Couture;Michael Reed;India Pearl;Edmund Donovan
1593,Wolf Children,2012,Mamoru Hosoda,Mamoru Hosoda;Satoko Okudera,Kumiko Aso;Aoi Miyazaki;Takao Ohsawa;Haru Kuroki
1594,Timecop,1994,Peter Hyams,Mark Verheiden,Jean-Claude Van Damme;Mia Sara;Ron Silver;Bruce McGill
1595,Wayne's World,1992,Penelope Spheeris,Mike Myers;Bonnie Turner;Terry Turner,Mike Myers;Dana Carvey;Rob Lowe;Tia Carrere
1596,Curse of Chucky,2013,Don Mancini,Don Mancini,Brad Dourif;Brennan Elliott;A Martinez;Danielle Bisutti
1597,Capote,2005,Bennett Miller,Dan Futterman;Gerald Clarke,Philip Seymour Hoffman;Allie Mickelson;Craig Archibald;Bronwen Coleman
1598,The Fly,1986,David Cronenberg,Charles Edward Pogue;David Cronenberg,Jeff Goldblum;Geena Davis;John Getz;Joy Boushel
1599,The Help,2011,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer;Bryce Dallas Howard
1600,Teenage Mutant Ninja Turtles,1990,Steve Barron,Bobby Herbeck;Todd W. Langen,Judith Hoag;Elias Koteas;Josh Pais;David Forman
1601,Muros,2015,Migueltxo Molina;Pablo Iraburu,Pablo Iraburu,Caren Hernández;Ghariba El Bokhari;Alejandro de Enciso;Jaime Mimún
1602,The Man in the Iron Mask,1998,Randall Wallace,Alexandre Dumas père;Randall Wallace,Leonardo DiCaprio;Jeremy Irons;Gérard Depardieu;Gabriel Byrne
1603,ParaNorman,2012,Sam Fell;Chris Butler,Chris Butler,Anna Kendrick;John Goodman;Leslie Mann;Casey Affleck
1604,Secret Things,2002,Jean-Claude Brisseau,Jean-Claude Brisseau,Coralie Revel;Sabrina Seyvecou;Roger Miremont;Fabrice Deville
1605,Three Steps Above Heaven,2010,Fernando González Molina,Federico Moccia;Ramón Salazar,María Valverde;Mario Casas;Álvaro Cervantes;Marina Salas
1606,The Prince of Egypt,1998,Brenda Chapman;Steve Hickner;Simon Wells,Philip LaZebnik;Nicholas Meyer,Val Kilmer;Ralph Fiennes;Patrick Stewart;Michelle Pfeiffer
1607,Matilda,1996,Danny DeVito,Roald Dahl;Nicholas Kazan,Mara Wilson;Danny DeVito;Embeth Davidtz;Rhea Perlman
1608,The Jackal,1997,Michael Caton-Jones,Chuck Pfarrer,Bruce Willis;Richard Gere;Sidney Poitier;Diane Venora
1609,The City of Lost Children,1995,Jean-Pierre Jeunet;Marc Caro,Jean-Pierre Jeunet;Marc Caro;Gilles Adrien,Ron Perlman;Dominique Pinon;Judith Vittet;Daniel Emilfork
1610,When in Rome,2010,Mark Steven Johnson,David Diamond;David Weissman,Josh Duhamel;Kristen Bell;Anjelica Huston;Will Arnett
1611,Framed,1988,Jonas Frick,Bengt Palmers;Björn Skifs,Björn Skifs;Gino Samil;Johan Ulveson;Magnus Nilsson
1612,Killing Them Softly,2012,Andrew Dominik,Andrew Dominik;George V. Higgins,Brad Pitt;Scoot McNairy;James Gandolfini;Ray Liotta
1613,He's Just Not That Into You,2009,Ken Kwapis,Abby Kohn;Marc Silverstein;Greg Behrendt,Jennifer Aniston;Jennifer Connelly;Drew Barrymore;Ginnifer Goodwin
1614,Closed Circuit,2013,John Crowley,Steven Knight,Eric Bana;Rebecca Hall;Ciarán Hinds;Jim Broadbent
1615,Experimenter,2015,Michael Almereyda,Michael Almereyda,Peter Sarsgaard;Winona Ryder;Jim Gaffigan;Taryn Manning
1616,Perfume: The Story of a Murderer,2006,Tom Tykwer,Andrew Birkin;Bernd Eichinger;Tom Tykwer;Patrick Süskind,Ben Whishaw;Simon Chandler;David Calder;Richard Felix
1617,Ransom,1996,Ron Howard,Richard Price;Alexander Ignon,Mel Gibson;Gary Sinise;Delroy Lindo;Rene Russo
1618,Step Up 2: The Streets,2008,Jon M. Chu,Toni Ann Johnson;Karen Barna;Duane Adler,Briana Evigan;Robert Hoffman;Will Kemp;Cassie Ventura
1619,RoboCop 2,1990,Irvin Kershner,Frank Miller;Walon Green,Peter Weller;Belinda Bauer;John Glover;Gabriel Damon
1620,The International,2009,Tom Tykwer,Eric Singer,Clive Owen;Naomi Watts;Armin Mueller-Stahl;Ulrich Thomsen
1621,Machete,2010,Robert Rodriguez;Ethan Maniquis,Álvaro Rodríguez;Robert Rodriguez,Danny Trejo;Michelle Rodriguez;Jessica Alba;Robert De Niro
1622,Sympathy for Lady Vengeance,2005,Park Chan-wook,Seo-Gyeong Jeong;Park Chan-wook,Choi Min-sik;Lee Young-ae;Yea-young Kwon;Go Soo-hee
1623,J. Edgar,2011,Clint Eastwood,Dustin Lance Black,Leonardo DiCaprio;Geoff Pierson;Naomi Watts;Josh Hamilton
1624,DodgeBall: A True Underdog Story,2004,Rawson Marshall Thurber,Rawson Marshall Thurber,Vince Vaughn;Christine Taylor;Ben Stiller;Rip Torn
1625,The Negotiator,1998,F. Gary Gray,James DeMonaco;Kevin Fox,Samuel L. Jackson;Kevin Spacey;David Morse;Ron Rifkin
1626,Horns,2013,Alexandre Aja,Joe Hill;Keith Bunin,Daniel Radcliffe;Juno Temple;Kelli Garner;James Remar
1627,The Book of Life,2014,Jorge R. Gutierrez,Jorge R. Gutierrez;Douglas Langdale,Diego Luna;Channing Tatum;Zoe Saldana;Christina Applegate
1628,The Many Adventures of Winnie the Pooh,1977,John Lounsbery;Wolfgang Reitherman,A.A. Milne;Larry Clemmons;Ralph Wright	;Vance Gerry,Sebastian Cabot;Sterling Holloway;Junius Matthews;Barbara Luddy
1629,Pleasure or Pain,2013,Zalman King,Zalman King,Malena Morgan;Christos Vasilopoulos;Daniel Sobieray;Kayla Jane
1630,Lawrence of Arabia,1962,David Lean,T.E. Lawrence;Robert Bolt;Michael Wilson,Peter O'Toole;Alec Guinness;Anthony Quinn;Jack Hawkins
1631,A Lesson in Romance,2014,Ron Oliver,Terence Brody,Kristy Swanson;Scott Grimes;Paul Butcher;Allie Gonino
1632,Son of a Gun,2014,Julius Avery,Julius Avery,Ewan McGregor;Brenton Thwaites;Alicia Vikander;Jacek Koman
1633,Surrogates,2009,Jonathan Mostow,Michael Ferris;John D. Brancato,Bruce Willis;Radha Mitchell;Rosamund Pike;James Cromwell
1634,Diamonds Are Forever,1971,Guy Hamilton,Ian Fleming;Richard Maibaum;Tom Mankiewicz,Sean Connery;Jill St. John;Charles Gray;Lana Wood
1635,Rocky IV,1985,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers
1636,Mr. Nobody,2009,Jaco Van Dormael,Jaco Van Dormael,Jared Leto;Diane Kruger;Linh Dan Pham;Sarah Polley
1637,Monkey Kingdom,2015,Mark Linfield;Alastair Fothergill,,Tina Fey
1638,The Witness,2015,James Solomon,,William Genovese
1639,Boys Don't Cry,1999,Kimberly Peirce,Kimberly Peirce;Andy Bienen,Hilary Swank;Chloë Sevigny;Peter Sarsgaard;Brendan Sexton III
1640,The Sting,1973,George Roy Hill,David S. Ward,Paul Newman;Robert Redford;Robert Shaw;Charles Durning
1641,The Darkest Hour,2011,Chris Gorak,John Spaihts;M.T. Ahern,Emile Hirsch;Rachael Taylor;Olivia Thirlby;Joel Kinnaman
1642,A Royal Night Out,2015,Julian Jarrold,Trevor De Silva;Kevin Hood,Sarah Gadon;Bel Powley;Emily Watson;Rupert Everett
1643,Unleashed,2005,Louis Leterrier,Luc Besson,Jet Li;Morgan Freeman;Bob Hoskins;Vincent Regan
1644,The Elephant Man,1980,David Lynch,David Lynch,John Hurt;Anthony Hopkins;Anne Bancroft;John Gielgud
1645,The Triplets of Belleville,2003,Sylvain Chomet,Sylvain Chomet,Béatrice Bonifassi;Lina Boudreau;Michèle Caucheteux;Jean-Claude Donda
1646,Zero Dark Thirty,2012,Kathryn Bigelow,Mark Boal,Jessica Chastain;Jason Clarke;Mark Strong;Joel Edgerton
1647,My Fair Lady,1964,George Cukor,Alan Jay Lerner,Audrey Hepburn;Rex Harrison;Stanley Holloway;Wilfrid Hyde-White
1648,Atonement,2007,Joe Wright,Ian McEwan;Christopher Hampton,Keira Knightley;James McAvoy;Romola Garai;Saoirse Ronan
1649,Traffic,2000,Steven Soderbergh,Simon Moore;Stephen Gaghan,Michael Douglas;Benicio del Toro;Jacob Vargas;Tomás Milián
1650,You Again,2010,Andy Fickman,Moe Jelline,Kristen Bell;Sigourney Weaver;Betty White;Kristin Chenoweth
1651,Life as We Know It,2010,Greg Berlanti,Ian Deitchman;Kristin Rusk Robinson,Katherine Heigl;Josh Duhamel;Christina Hendricks;Josh Lucas
1652,White Chicks,2004,Keenen Ivory Wayans,Keenen Ivory Wayans;Marlon Wayans;Shawn Wayans;Andrew McElfresh;Xavier Cook;Michael Anthony Snowden,Shawn Wayans;Marlon Wayans;Jaime King;Frankie Faison
1653,An Inconvenient Truth,2006,Davis Guggenheim,Davis Guggenheim,Al Gore;Billy West;Ronald Reagan;George W. Bush
1654,Cider With Rosie,2015,Philippa Lowthorpe,Laurie Lee,Samantha Morton;Timothy Spall;June Whitfield;Shola Adewusi
1655,The Gamechangers,2015,Owen Harris,James Wood,Daniel Radcliffe;Bill Paxton;Joe Dempsie
1656,Tremors 4: The Legend Begins,2004,S. S. Wilson,,Michael Gross;Sara Botsford;Billy Drago;Brent Roam
1657,The Day After Tomorrow,2004,Roland Emmerich,Roland Emmerich;Jeffrey Nachmanoff,Dennis Quaid;Jake Gyllenhaal;Emmy Rossum;Dash Mihok
1658,Hours,2013,Eric Heisserer,Eric Heisserer,Paul Walker;Génesis Rodríguez;Nick Gomez;Tony Bentley
1659,Scary Movie 4,2006,David Zucker,Craig Mazin;Jim Abrahams;Pat Proft,Anna Faris;Regina Hall;Craig Bierko;Bill Pullman
1660,Vacancy,2007,Nimród Antal,Mark L. Smith,Kate Beckinsale;Luke Wilson;Ethan Embry;Scott G. Anderson
1661,Bad Boys II,2003,Michael Bay,Ron Shelton;Jerry Stahl;Marianne Wibberley;Cormac Wibberley,Will Smith;Martin Lawrence;Gabrielle Union;Jordi Mollà
1662,Batman vs. Robin,2015,Jay Oliva,J. M. DeMatteis,Jason O'Mara;Stuart Allan;David McCallum;Sean Maher
1663,Once Upon a Time in America,1984,Sergio Leone,Harry grey;Leonardo Benvenuti ;Piero De Bernardi;Enrico Medioli;Franco Arcalli;Franco Ferrini;Sergio Leone;Ernesto Gastaldi,Robert De Niro;James Woods;Elizabeth McGovern;Tuesday Weld
1664,Stephen King's It,1990,Tommy Lee Wallace,Stephen King;Lawrence D. Cohen;Tommy Lee Wallace,Tim Curry;Annette O'Toole;Harry Anderson;Seth Green
1665,Brick Mansions,2014,Camille Delamarre,Luc Besson;Robert Mark Kamen,Paul Walker;David Belle;RZA;Robert Maillet
1666,The Wedding Singer,1998,Frank Coraci,Tim Herlihy,Adam Sandler;Drew Barrymore;Christine Taylor;Allen Covert
1667,Attack on Titan,2015,Shinji Higuchi,Yusuke Watanabe;Tomohiro Machiyama,Haruma Miura;Kiko Mizuhara;Kanata Hongo;Nanami Sakuraba
1668,The Number 23,2007,Joel Schumacher,Fernley Phillips,Jim Carrey;Virginia Madsen;Logan Lerman;Danny Huston
1669,Frank,2014,Lenny Abrahamson,Jon Ronson;Peter Straughan,Michael Fassbender;Maggie Gyllenhaal;Domhnall Gleeson;Scoot McNairy
1670,Only God Forgives,2013,Nicolas Winding Refn,Nicolas Winding Refn,Ryan Gosling;Kristin Scott Thomas;Gordon Brown;Tom Burke
1671,Paul,2011,Greg Mottola,Nick Frost;Simon Pegg,Seth Rogen;Simon Pegg;Nick Frost;Jason Bateman
1672,The Visitors II: The Corridors of Time,1998,Jean-Marie Poiré,Jean-Marie Poiré;Christian Clavier,Christian Clavier;Jean Reno;Marie-Anne Chazel;Christian Bujeau
1673,Deliverance,1972,John Boorman,James Dickey,Jon Voight;Burt Reynolds;Ned Beatty;Ronny Cox
1674,Pretty Baby,1978,Louis Malle,Louis Malle;Polly Platt,Brooke Shields;Keith Carradine;Susan Sarandon;Frances Faye
1675,Halloween,1978,John Carpenter,Debra Hill;John Carpenter,Donald Pleasence;Jamie Lee Curtis;Nancy Kyes;P.J. Soles
1676,Shallow Hal,2001,Bobby Farrelly;Peter Farrelly,Peter Farrelly;Bobby Farrelly;Sean Moynihan,Gwyneth Paltrow;Jack Black;Jason Alexander;Joe Viterelli
1677,Wild Hogs,2007,Walt Becker,Brad Copeland,Tim Allen;John Travolta;Martin Lawrence;William H. Macy
1678,You're Next,2011,Adam Wingard,Simon Barrett,Sharni Vinson;Nicholas Tucci;Wendy Glenn;AJ Bowen
1679,Carnage,2011,Roman Polanski,Roman Polanski;Yasmina Reza,Kate Winslet;Jodie Foster;Christoph Waltz;John C. Reilly
1680,Marshland,2014,Alberto Rodríguez,Alberto Rodríguez,Raúl Arévalo;Javier Gutiérrez;Antonio de la Torre;Nerea Barros
1681,The Nutty Professor,1996,Tom Shadyac,David Sheffield;Barry W. Blaustein;Steve Oedekerk;Tom Shadyac,Eddie Murphy;Jada Pinkett Smith;James Coburn;Larry Miller
1682,American Pie Presents: Band Camp,2005,Steve Rash,Brad Riddell,Eugene Levy;Tad Hilgenbrink;Arielle Kebbel;Jason Earles
