ID,title,year,director,writer,actor
001521, Dances with Wolves, 1990, Kevin Costner, Michael Blake; Michael Blake, Kevin Costner; Mary McDonnell; Graham Greene
001522, Texas Chainsaw 3D, 2013, John Luessenhop, Adam Marcus; Debra Sullivan, Alexandra Daddario; Tania Raymonde; Scott Eastwood
001523, Draft Day(I), 2014, Ivan Reitman, Scott Rothman; Rajiv Joseph, Kevin Costner; Chadwick Boseman; Jennifer Garner
001524, Jenny's Wedding, 2015, Mary Agnes Donoghue, Mary Agnes Donoghue, Katherine Heigl; Tom Wilkinson; Linda Emond
001525, Midnight's Children, 2012, Deepa Mehta, Salman Rushdie; Deepa Mehta, Rajat Kapoor; Vansh Bhardwaj; Anupam Kher
001526, Mirror Mirror(I), 2012, Tarsem Singh, Marc Klein; Jason Keller, Lily Collins; Julia Roberts; Armie Hammer
001527, Vicky Cristina Barcelona, 2008, Woody Allen, Woody Allen, Rebecca Hall; Scarlett Johansson; Javier Bardem
001528, The Day the Earth Stood Still, 2008, Scott Derrickson, David Scarpa; Edmund H. North, Keanu Reeves; Jennifer Connelly; Kathy Bates
001529, The Three Musketeers, 2011, Paul W.S. Anderson, Alex Litvak; Andrew Davies, Logan Lerman; Matthew Macfadyen; Ray Stevenson
001530, Maid in Manhattan, 2002, Wayne Wang, John Hughes; Kevin Wade, Jennifer Lopez; Ralph Fiennes; Natasha Richardson
001531, Elite Squad: The Enemy Within, 2010, José Padilha, Bráulio Mantovani; Bráulio Mantovani, Wagner Moura; Irandhir Santos; André Ramiro
001532, Pocahontas, 1995, Mike Gabriel; Eric Goldberg, Carl Binder; Susannah Grant, Mel Gibson; Linda Hunt; Christian Bale
001533, Last Vegas, 2013, Jon Turteltaub, Dan Fogelman, Robert De Niro; Michael Douglas; Morgan Freeman
001534, Mystery Road, 2013, Ivan Sen, Ivan Sen, Aaron Pedersen; Hugo Weaving; Ryan Kwanten
001535, Contes immoraux, 1974, Walerian Borowczyk, Walerian Borowczyk; André Pieyre de Mandiargues, Lise Danvers; Fabrice Luchini; Charlotte Alexandra
001536, The Emperor's New Groove, 2000, Mark Dindal, Chris Williams; Mark Dindal, David Spade; John Goodman; Eartha Kitt
001537, Forgetting Sarah Marshall, 2008, Nicholas Stoller, Jason Segel, Kristen Bell; Jason Segel; Paul Rudd
001538, Old School, 2003, Todd Phillips, Court Crandall; Todd Phillips, Luke Wilson; Vince Vaughn; Will Ferrell
001539, Black Panther, 2018, F. Gary Gray, Joe Robert Cole; Jack Kirby, Andy Serkis; Chadwick Boseman
001540, The Twilight Saga: New Moon, 2009, Chris Weitz, Melissa Rosenberg; Stephenie Meyer, Kristen Stewart; Robert Pattinson; Taylor Lautner
001541, Walk of Shame, 2014, Steven Brill, Steven Brill, Elizabeth Banks; James Marsden; Gillian Jacobs
001542, Dear John(I), 2010, Lasse Hallström, Jamie Linden; Nicholas Sparks, Channing Tatum; Amanda Seyfried; Richard Jenkins
001543, Ace Ventura: Pet Detective, 1994, Tom Shadyac, Jack Bernstein; Jack Bernstein, Jim Carrey; Courteney Cox; Sean Young
001544, Back to the Future Part III, 1990, Robert Zemeckis, Robert Zemeckis; Bob Gale, Michael J. Fox; Christopher Lloyd; Mary Steenburgen
001545, Let the Right One In, 2008, Tomas Alfredson, John Ajvide Lindqvist; John Ajvide Lindqvist, Kåre Hedebrant; Lina Leandersson; Per Ragnar
001546, Transformers 5, 2017, , Andrew Barrer; Lindsey Beer, Peter Cullen
001547, Vanilla Sky, 2001, Cameron Crowe, Alejandro Amenábar; Mateo Gil, Tom Cruise; Penélope Cruz; Cameron Diaz
001548, Unknown(I), 2011, Jaume Collet-Serra, Oliver Butcher; Stephen Cornwell, Liam Neeson; Diane Kruger; January Jones
001549, Burlesque(I), 2010, Steve Antin, Steve Antin, Cher; Christina Aguilera; Alan Cumming
001550, Year One, 2009, Harold Ramis, Harold Ramis; Gene Stupnitsky, Jack Black; Michael Cera; Olivia Wilde
001551, Third Person, 2013, Paul Haggis, Paul Haggis, Liam Neeson; Mila Kunis; Adrien Brody
001552, Risky Business, 1983, Paul Brickman, Paul Brickman, Tom Cruise; Rebecca De Mornay; Joe Pantoliano
001553, Dead Rising: Watchtower, 2015, Zach Lipovsky, Tim Carter, Jesse Metcalfe; Meghan Ory; Virginia Madsen
001554, Can't Buy Me Love, 1987, Steve Rash, Michael Swerdlick, Patrick Dempsey; Amanda Peterson; Courtney Gains
001555, Hotel Rwanda, 2004, Terry George, Keir Pearson; Terry George, Don Cheadle; Sophie Okonedo; Joaquin Phoenix
001556, The Imaginarium of Doctor Parnassus, 2009, Terry Gilliam, Terry Gilliam; Charles McKeown, Christopher Plummer; Lily Cole; Heath Ledger
001557, Homefront(I), 2013, Gary Fleder, Sylvester Stallone; Chuck Logan, Jason Statham; James Franco; Winona Ryder
001558, Last Hours in Suburbia, 2012, John Stimpson, Marcy Holland, Maiara Walsh; Liz Vassey; Erica McDermott
001559, Triangle, 2009, Christopher Smith, Christopher Smith, Melissa George; Joshua McIvor; Jack Taylor
001560, The Kings of Summer, 2013, Jordan Vogt-Roberts, Chris Galletta, Nick Robinson; Gabriel Basso; Moises Arias
001561, Salt, 2010, Phillip Noyce, Kurt Wimmer, Angelina Jolie; Liev Schreiber; Chiwetel Ejiofor
001562, Underworld: Awakening, 2012, Måns Mårlind; Björn Stein, Len Wiseman; John Hlavin, Kate Beckinsale; Michael Ealy; India Eisley
001563, Strange Magic, 2015, Gary Rydstrom, Irene Mecchi; Gary Rydstrom, Evan Rachel Wood; Elijah Kelley; Kristin Chenoweth
001564, As Good as It Gets, 1997, James L. Brooks, Mark Andrus; Mark Andrus, Jack Nicholson; Helen Hunt; Greg Kinnear
001565, Hardcore, 2015, Ilya Naishuller, Ilya Naishuller, Sharlto Copley; Haley Bennett; Danila Kozlovsky
001566, Nanny McPhee, 2005, Kirk Jones, Emma Thompson; Christianna Brand, Emma Thompson; Colin Firth; Angela Lansbury
001567, Gnomeo &amp; Juliet, 2011, Kelly Asbury, Rob Sprackling; John R. Smith, James McAvoy; Emily Blunt; Maggie Smith
001568, Angels &amp; Demons, 2009, Ron Howard, David Koepp; Akiva Goldsman, Tom Hanks; Ewan McGregor; Ayelet Zurer
001569, Bone Tomahawk, 2015, S. Craig Zahler, S. Craig Zahler, Kurt Russell; Patrick Wilson; Sean Young
001570, Jacob's Ladder(I), 1990, Adrian Lyne, Bruce Joel Rubin, Tim Robbins; Elizabeth Peña; Danny Aiello
001571, Meet the Fockers, 2004, Jay Roach, Greg Glienna; Mary Ruth Clarke, Ben Stiller; Robert De Niro; Blythe Danner
001572, Vice(II), 2015, Brian A Miller, Andre Fabrizio; Jeremy Passmore, Thomas Jane; Bruce Willis; Ambyr Childers
001573, Enemy of the State, 1998, Tony Scott, David Marconi, Will Smith; Gene Hackman; Jon Voight
001574, True Lies, 1994, James Cameron, Claude Zidi; Simon Michaël, Arnold Schwarzenegger; Jamie Lee Curtis; Tom Arnold
001575, Identity, 2003, James Mangold, Michael Cooney, John Cusack; Ray Liotta; Amanda Peet
001576, Sherlock Holmes 3, , , Arthur Conan Doyle; Drew Pearce, Rachel McAdams; Robert Downey Jr.; Jude Law
001577, Bride Wars, 2009, Gary Winick, Greg DePaul; Casey Wilson, Kate Hudson; Anne Hathaway; Candice Bergen
001578, Bill &amp; Ted's Excellent Adventure, 1989, Stephen Herek, Chris Matheson; Ed Solomon, Keanu Reeves; Alex Winter; George Carlin
001579, Grudge Match, 2013, Peter Segal, Tim Kelleher; Rodney Rothman, Robert De Niro; Sylvester Stallone; Kim Basinger
001580, The Face of an Angel, 2014, Michael Winterbottom, Barbie Latza Nadeau; Paul Viragh, Cara Delevingne; Kate Beckinsale; Daniel Brühl
001581, Cat on a Hot Tin Roof, 1958, Richard Brooks, Richard Brooks; James Poe, Elizabeth Taylor; Paul Newman; Burl Ives
001582, Resident Evil: Apocalypse, 2004, Alexander Witt, Paul W.S. Anderson, Milla Jovovich; Sienna Guillory; Eric Mabius
001583, The Raid: Redemption, 2011, Gareth Evans, Gareth Evans, Iko Uwais; Ananda George; Ray Sahetapy
001584, Beetlejuice 2, , Tim Burton, Seth Grahame-Smith; Seth Grahame-Smith, Winona Ryder
001585, Scent of a Woman, 1992, Martin Brest, Giovanni Arpino; Bo Goldman, Al Pacino; Chris O'Donnell; James Rebhorn
001586, Mars Attacks!, 1996, Tim Burton, Len Brown; Woody Gelman, Jack Nicholson; Pierce Brosnan; Sarah Jessica Parker
001587, The Program, 1993, David S. Ward, David S. Ward; Aaron Latham, James Caan; Halle Berry; Omar Epps
001588, Enemy at the Gates, 2001, Jean-Jacques Annaud, Jean-Jacques Annaud; Alain Godard, Jude Law; Ed Harris; Joseph Fiennes
001589, The English Patient, 1996, Anthony Minghella, Michael Ondaatje; Anthony Minghella, Ralph Fiennes; Juliette Binoche; Willem Dafoe
001590, Rise of the Planet of the Apes, 2011, Rupert Wyatt, Rick Jaffa; Amanda Silver, James Franco; Andy Serkis; Freida Pinto
001591, Bruce Almighty, 2003, Tom Shadyac, Steve Koren; Mark O'Keefe, Jim Carrey; Jennifer Aniston; Morgan Freeman
001592, Filth(I), 2013, Jon S. Baird, Jon S. Baird; Irvine Welsh, James McAvoy; Jamie Bell; Eddie Marsan
001593, About a Boy, 2002, Chris Weitz; Paul Weitz, Nick Hornby; Peter Hedges, Hugh Grant; Nicholas Hoult; Toni Collette
001594, The Princess and the Frog, 2009, Ron Clements; John Musker, Ron Clements; John Musker, Anika Noni Rose; Keith David; Oprah Winfrey
001595, Inferno(I), 2016, Ron Howard, Dan Brown; David Koepp, Tom Hanks; Felicity Jones; Ben Foster
001596, Mommy(I), 2014, Xavier Dolan, Xavier Dolan, Anne Dorval; Antoine-Olivier Pilon; Suzanne Clément
001597, Animal Kingdom, 2010, David Michôd, David Michôd, James Frecheville; Guy Pearce; Joel Edgerton
001598, Step Up Revolution, 2012, Scott Speer, Amanda Brody; Duane Adler, Kathryn McCormick; Ryan Guzman; Cleopatra Coleman
001599, Dark City, 1998, Alex Proyas, Alex Proyas; Alex Proyas, Rufus Sewell; Kiefer Sutherland; Jennifer Connelly
001600, The Blues Brothers, 1980, John Landis, Dan Aykroyd; John Landis, John Belushi; Dan Aykroyd; Cab Calloway
001601, Rings, 2016, F. Javier Gutiérrez, Jacob Aaron Estes; Akiva Goldsman, Johnny Galecki; Aimee Teegarden; Laura Wiggins
001602, Thirteen, 2003, Catherine Hardwicke, Catherine Hardwicke; Nikki Reed, Evan Rachel Wood; Holly Hunter; Nikki Reed
001603, The Room, 2003, Tommy Wiseau, Tommy Wiseau, Tommy Wiseau; Juliette Danielle; Greg Sestero
001604, Doctor Zhivago, 1965, David Lean, Boris Pasternak; Robert Bolt, Omar Sharif; Julie Christie; Geraldine Chaplin
001605, All Creatures Big and Small, 2015, Toby Genkel; Sean McCormack, Richie Conroy; Toby Genkel, Dermot Magennis; Callum Maloney; Tara Flynn
001606, Nina Forever, 2015, Ben Blaine; Chris Blaine, Ben Blaine; Chris Blaine, Fiona O'Shaughnessy; Abigail Hardingham; Cian Barry
001607, Mustang, 2015, Deniz Gamze Ergüven, Deniz Gamze Ergüven; Alice Winocour, Günes Sensoy; Doga Zeynep Doguslu; Elit Iscan
001608, Welcome to Me, 2014, Shira Piven, Eliot Laurence, Kristen Wiig; James Marsden; Linda Cardellini
001609, Kiss Kiss Bang Bang, 2005, Shane Black, Brett Halliday; Shane Black, Robert Downey Jr.; Val Kilmer; Michelle Monaghan
001610, Pleasantville, 1998, Gary Ross, Gary Ross, Tobey Maguire; Jeff Daniels; Joan Allen
001611, Kill Your Darlings, 2013, John Krokidas, Austin Bunn; Austin Bunn, Daniel Radcliffe; Dane DeHaan; Michael C. Hall
001612, A Bigger Splash, 2015, Luca Guadagnino, David Kajganich; Alain Page, Dakota Johnson; Matthias Schoenaerts; Ralph Fiennes
001613, Sliding Doors, 1998, Peter Howitt, Peter Howitt, Gwyneth Paltrow; John Hannah; John Lynch
001614, Automata(I), 2014, Gabe Ibáñez, Gabe Ibáñez; Igor Legarreta, Antonio Banderas; Birgitte Hjort Sørensen; Dylan McDermott
001615, The Riot Club, 2014, Lone Scherfig, Laura Wade; Laura Wade, Sam Claflin; Max Irons; Douglas Booth
001616, Donnie Brasco, 1997, Mike Newell, Joseph D. Pistone; Richard Woodley, Al Pacino; Johnny Depp; Michael Madsen
001617, The Iceman, 2012, Ariel Vromen, Morgan Land; Ariel Vromen, Michael Shannon; Chris Evans; James Franco
001618, The Host, 2013, Andrew Niccol, Andrew Niccol; Stephenie Meyer, Saoirse Ronan; Max Irons; Jake Abel
001619, Little Giants, 1994, Duwayne Dunham, James Ferguson; Robert Shallcross, Rick Moranis; Ed O'Neill; Shawna Waldron
001620, Murder in Mexico: The Bruce Beresford-Redman Story, 2015, Mark Gantt, Ron McGee, Colin Egglesfield; Leonor Varela; Brianne Davis
001621, The X Files: I Want to Believe, 2008, Chris Carter, Frank Spotnitz; Chris Carter, David Duchovny; Gillian Anderson; Billy Connolly
001622, Robots, 2005, Chris Wedge; Carlos Saldanha, Ron Mita; Jim McClain, Ewan McGregor; Halle Berry; Mel Brooks
001623, Two on a Guillotine, 1965, William Conrad, John Kneubuhl; Henry Slesar, Connie Stevens; Dean Jones; Cesar Romero
001624, Saint Laurent, 2014, Bertrand Bonello, Thomas Bidegain; Bertrand Bonello, Gaspard Ulliel; Jérémie Renier; Louis Garrel
001625, Spartacus, 1960, Stanley Kubrick, Dalton Trumbo; Howard Fast, Kirk Douglas; Laurence Olivier; Jean Simmons
001626, Top Five, 2014, Chris Rock, Chris Rock, Chris Rock; Rosario Dawson; Gabrielle Union
001627, Laggies, 2014, Lynn Shelton, Andrea Seigel, Keira Knightley; Chloë Grace Moretz; Sam Rockwell
001628, Byzantium, 2012, Neil Jordan, Moira Buffini; Moira Buffini, Saoirse Ronan; Gemma Arterton; Sam Riley
001629, Devil, 2010, John Erick Dowdle, Brian Nelson; M. Night Shyamalan, Chris Messina; Caroline Dhavernas; Bokeem Woodbine
001630, Epic, 2013, Chris Wedge, James V. Hart; William Joyce, Amanda Seyfried; Josh Hutcherson; Beyoncé Knowles
001631, Labor Day, 2013, Jason Reitman, Jason Reitman; Joyce Maynard, Kate Winslet; Josh Brolin; Gattlin Griffith
001632, Romeo &amp; Juliet(II), 2013, Carlo Carlei, Julian Fellowes; William Shakespeare, Hailee Steinfeld; Douglas Booth; Damian Lewis
001633, Chinatown, 1974, Roman Polanski, Robert Towne, Jack Nicholson; Faye Dunaway; John Huston
001634, Indiana Jones and the Kingdom of the Crystal Skull, 2008, Steven Spielberg, David Koepp; George Lucas, Harrison Ford; Cate Blanchett; Shia LaBeouf
001635, Conan the Barbarian, 2011, Marcus Nispel, Thomas Dean Donnelly; Joshua Oppenheimer, Jason Momoa; Ron Perlman; Rose McGowan
001636, Formula 51, 2001, Ronny Yu, Stel Pavlou, Samuel L. Jackson; Robert Carlyle; Emily Mortimer
001637, The Terminal, 2004, Steven Spielberg, Andrew Niccol; Sacha Gervasi, Tom Hanks; Catherine Zeta-Jones; Chi McBride
001638, Perfect Mothers, 2013, Anne Fontaine, Anne Fontaine; Christopher Hampton, Naomi Watts; Robin Wright; Xavier Samuel
001639, The Constant Gardener, 2005, Fernando Meirelles, Jeffrey Caine; John le Carré, Ralph Fiennes; Rachel Weisz; Hubert Koundé
001640, The Way Way Back, 2013, Nat Faxon; Jim Rash, Nat Faxon; Jim Rash, Steve Carell; Toni Collette; Allison Janney
001641, Mortal Kombat, 1995, Paul W.S. Anderson, Ed Boon; John Tobias, Christopher Lambert; Robin Shou; Linden Ashby
001642, Brothers(I), 2009, Jim Sheridan, David Benioff; Susanne Bier, Jake Gyllenhaal; Natalie Portman; Tobey Maguire
001643, West Side Story, 1961, Jerome Robbins; Robert Wise, Ernest Lehman; Arthur Laurents, Natalie Wood; George Chakiris; Richard Beymer
001644, We Are Marshall, 2006, McG, Jamie Linden; Cory Helms, Matthew McConaughey; Matthew Fox; Anthony Mackie
001646, Seven Pounds, 2008, Gabriele Muccino, Grant Nieporte, Will Smith; Rosario Dawson; Woody Harrelson
001647, Con Air, 1997, Simon West, Scott Rosenberg, Nicolas Cage; John Cusack; John Malkovich
001648, Eastern Promises, 2007, David Cronenberg, Steven Knight, Naomi Watts; Viggo Mortensen; Armin Mueller-Stahl
001649, My Own Private Idaho, 1991, Gus Van Sant, William Shakespeare; Gus Van Sant, River Phoenix; Keanu Reeves; James Russo
001650, Wild Child, 2008, Nick Moore, Lucy Dahl, Emma Roberts; Aidan Quinn; Natasha Richardson
001652, St. Trinian's, 2007, Oliver Parker; Barnaby Thompson, Piers Ashworth; Jamie Minoprio, Talulah Riley; Rupert Everett; Gemma Arterton
001653, The Best Exotic Marigold Hotel, 2011, John Madden, Ol Parker; Deborah Moggach, Judi Dench; Bill Nighy; Maggie Smith
001654, The Normal Heart, 2014, Ryan Murphy, Larry Kramer; Larry Kramer, Mark Ruffalo; Jonathan Groff; Frank De Julio
001655, The Mummy: Tomb of the Dragon Emperor, 2008, Rob Cohen, Alfred Gough; Miles Millar, Brendan Fraser; Jet Li; Maria Bello
001656, Live Free or Die Hard, 2007, Len Wiseman, Mark Bomback; Mark Bomback, Bruce Willis; Justin Long; Timothy Olyphant
001657, You're Not You, 2014, George C. Wolfe, Shana Feste; Jordan Roberts, Hilary Swank; Emmy Rossum; Josh Duhamel
001658, Sharknado 3: Oh Hell No!, 2015, Anthony C. Ferrante, Thunder Levin, Ian Ziering; Tara Reid; Cassie Scerbo
001659, Rambo, 2008, Sylvester Stallone, Art Monterastelli; Sylvester Stallone, Sylvester Stallone; Julie Benz; Matthew Marsden
001660, Wonder Woman, 2017, Patty Jenkins, Jason Fuchs; William M. Marston, Chris Pine; Gal Gadot
001661, Hellions, 2015, Bruce McDonald, Pascal Trottier; Pascal Trottier, Chloe Rose; Robert Patrick; Rossif Sutherland
001662, 21 Grams, 2003, Alejandro González Iñárritu, Guillermo Arriaga, Sean Penn; Benicio Del Toro; Naomi Watts
001663, My Neighbor Totoro, 1988, Hayao Miyazaki, Hayao Miyazaki, Hitoshi Takagi; Noriko Hidaka; Chika Sakamoto
001664, Life as We Know It, 2010, Greg Berlanti, Ian Deitchman; Kristin Rusk Robinson, Katherine Heigl; Josh Duhamel; Josh Lucas
001665, A Time to Kill, 1996, Joel Schumacher, John Grisham; Akiva Goldsman, Matthew McConaughey; Sandra Bullock; Samuel L. Jackson
001666, Trading Places, 1983, John Landis, Timothy Harris; Herschel Weingrod, Eddie Murphy; Dan Aykroyd; Ralph Bellamy
001667, Closer(I), 2004, Mike Nichols, Patrick Marber; Patrick Marber, Natalie Portman; Jude Law; Clive Owen
001668, Mission to Mars, 2000, Brian De Palma, Lowell Cannon; Jim Thomas, Tim Robbins; Gary Sinise; Don Cheadle
001669, Get Smart, 2008, Peter Segal, Tom J. Astle; Matt Ember, Steve Carell; Anne Hathaway; Alan Arkin
001670, Lady in the Water, 2006, M. Night Shyamalan, M. Night Shyamalan, Paul Giamatti; Bryce Dallas Howard; Jeffrey Wright
001671, A Good Day to Die Hard, 2013, John Moore, Skip Woods; Roderick Thorp, Bruce Willis; Jai Courtney; Sebastian Koch
001672, Let Me In, 2010, Matt Reeves, Matt Reeves; John Ajvide Lindqvist, Kodi Smit-McPhee; Chloë Grace Moretz; Richard Jenkins
001673, Miss Congeniality, 2000, Donald Petrie, Marc Lawrence; Katie Ford, Sandra Bullock; Michael Caine; Benjamin Bratt
001674, Planet Terror, 2007, Robert Rodriguez, Robert Rodriguez, Rose McGowan; Freddy Rodríguez; Josh Brolin
001675, Hard Candy, 2005, David Slade, Brian Nelson, Patrick Wilson; Ellen Page; Sandra Oh
001676, JFK, 1991, Oliver Stone, Oliver Stone; Zachary Sklar, Kevin Costner; Gary Oldman; Jack Lemmon
001677, Dr. No, 1962, Terence Young, Richard Maibaum; Johanna Harwood, Sean Connery; Ursula Andress; Bernard Lee
001678, Fehér isten, 2014, Kornél Mundruczó, Kornél Mundruczó; Viktória Petrányi, Zsófia Psotta; Sándor Zsótér; Lili Horváth
001679, The Falling, 2014, Carol Morley, Carol Morley, Maxine Peake; Maisie Williams; Florence Pugh
001680, Empire of the Sun, 1987, Steven Spielberg, J.G. Ballard; Tom Stoppard, Christian Bale; John Malkovich; Miranda Richardson
001681, Wrong Turn(I), 2003, Rob Schmidt, Alan B. McElroy, Eliza Dushku; Jeremy Sisto; Emmanuelle Chriqui
001682, The Amityville Horror, 2005, Andrew Douglas, Scott Kosar; Jay Anson, Ryan Reynolds; Melissa George; Jimmy Bennett
001683, Unfaithful, 2002, Adrian Lyne, Claude Chabrol; Alvin Sargent, Richard Gere; Diane Lane; Olivier Martinez
001684, The Woman in Black 2: Angel of Death, 2014, Tom Harper, Jon Croker; Jon Croker, Helen McCrory; Jeremy Irvine; Phoebe Fox
001685, Finding Neverland, 2004, Marc Forster, Allan Knee; David Magee, Johnny Depp; Kate Winslet; Julie Christie
001686, The Lady in the Van, 2015, Nicholas Hytner, Alan Bennett, Maggie Smith; Dominic Cooper; James Corden
001687, The Babysitters, 2007, David Ross, David Ross, Lauren Birkell; Paul Borghese; Chira Cassel
001688, The Next Three Days, 2010, Paul Haggis, Paul Haggis; Fred Cavayé, Russell Crowe; Elizabeth Banks; Liam Neeson
001689, The A-List, 2015, Will Bigham, D.J. Halferty, Alyson Stoner; Hal Sparks; Skyler Vallo
001690, This Is Spinal Tap, 1984, Rob Reiner, Christopher Guest; Michael McKean, Rob Reiner; Michael McKean; Christopher Guest
001691, Speed, 1994, Jan de Bont, Graham Yost, Keanu Reeves; Dennis Hopper; Sandra Bullock
001692, Road Trip, 2000, Todd Phillips, Todd Phillips; Scot Armstrong, Breckin Meyer; Seann William Scott; Amy Smart
001693, Before Sunrise, 1995, Richard Linklater, Richard Linklater; Kim Krizan, Ethan Hawke; Julie Delpy; Andrea Eckert
001694, Footloose, 2011, Craig Brewer, Dean Pitchford; Craig Brewer, Kenny Wormald; Julianne Hough; Dennis Quaid
001695, Friday the 13th: The Final Chapter, 1984, Joseph Zito, Victor Miller; Ron Kurz, Erich Anderson; Judie Aronson; Peter Barton
001696, The Basketball Diaries, 1995, Scott Kalvert, Jim Carroll; Bryan Goluboff, Leonardo DiCaprio; Lorraine Bracco; Marilyn Sokol
001697, Hellraiser, 1987, Clive Barker, Clive Barker, Andrew Robinson; Clare Higgins; Ashley Laurence
001698, Intruders(I), 2011, Juan Carlos Fresnadillo, Nicolás Casariego; Jaime Marques, Clive Owen; Carice van Houten; Izán Corchero
001699, A Good Marriage, 2014, Peter Askin, Stephen King, Joan Allen; Anthony LaPaglia; Stephen Lang
001700, Phoenix(II), 2014, Christian Petzold, Christian Petzold; Harun Farocki, Nina Hoss; Ronald Zehrfeld; Nina Kunzendorf
001701, Hall Pass, 2011, Bobby Farrelly; Peter Farrelly, Pete Jones; Peter Farrelly, Owen Wilson; Jason Sudeikis; Christina Applegate
001702, Blades of Glory, 2007, Josh Gordon; Will Speck, Jeff Cox; Craig Cox, Will Ferrell; Jon Heder; Amy Poehler
001703, The Houses October Built, 2014, Bobby Roe, Zack Andrews; Zack Andrews, Brandy Schaefer; Zack Andrews; Bobby Roe
001704, Baahubali: The Beginning, 2015, S.S. Rajamouli, Vijayendra Prasad; S.S. Rajamouli, Prabhas; Rana Daggubati; Anushka Shetty
001705, Wild Horses, 2015, Robert Duvall, Robert Duvall; Michael Shell, Robert Duvall; James Franco; Josh Hartnett
001706, Big Trouble in Little China, 1986, John Carpenter, Gary Goldman; David Z. Weinstein, Kurt Russell; Kim Cattrall; Dennis Dun
001707, A Bug's Life, 1998, John Lasseter; Andrew Stanton, John Lasseter; Andrew Stanton, Kevin Spacey; Dave Foley; Julia Louis-Dreyfus
001708, Annie Hall, 1977, Woody Allen, Woody Allen; Marshall Brickman, Woody Allen; Diane Keaton; Tony Roberts
001709, Tomorrow Never Dies, 1997, Roger Spottiswoode, Bruce Feirstein, Pierce Brosnan; Jonathan Pryce; Michelle Yeoh
001710, Predators, 2010, Nimród Antal, Alex Litvak; Michael Finch, Adrien Brody; Laurence Fishburne; Topher Grace
001711, Changeling, 2008, Clint Eastwood, J. Michael Straczynski, Angelina Jolie; Colm Feore; Amy Ryan
001712, The Quiet Man, 1952, John Ford, Frank S. Nugent; Maurice Walsh, John Wayne; Maureen O'Hara; Barry Fitzgerald
001713, Listening, 2014, Khalil Sullins, Khalil Sullins, Thomas Stroppel; Artie Ahr; Amber Marie Bollinger
001714, Friday the 13th Part 2, 1981, Steve Miner, Ron Kurz; Victor Miller, Betsy Palmer; Amy Steel; John Furey
001715, Untitled Blade Runner Project, , Denis Villeneuve, Philip K. Dick; Ridley Scott, Ryan Gosling; Harrison Ford
001716, The Vatican Tapes, 2015, Mark Neveldine, Chris Morgan; Christopher Borrelli, Olivia Taylor Dudley; Michael Peña; Dougray Scott
001717, The Boxtrolls, 2014, Graham Annable; Anthony Stacchi, Irena Brignull; Adam Pava, Ben Kingsley; Jared Harris; Nick Frost
001718, Pacific Rim: Maelstrom, , Guillermo del Toro, Travis Beacham; Zak Penn, Charlie Hunnam; Ron Perlman
001719, Bad Boys, 1995, Michael Bay, George Gallo; Michael Barrie, Will Smith; Martin Lawrence; Lisa Boyle
001720, Sleepers, 1996, Barry Levinson, Lorenzo Carcaterra; Barry Levinson, Robert De Niro; Kevin Bacon; Brad Pitt
001721, Colonia, 2015, Florian Gallenberger, Florian Gallenberger; Torsten Wenzel, Emma Watson; Daniel Brühl; Michael Nyqvist
001722, Ready Player One, 2017, Steven Spielberg, Ernest Cline; Zak Penn, Olivia Cooke
001723, The Stranger(IV), 2014, Guillermo Amoedo, Guillermo Amoedo, Cristobal Tapia Montt; Lorenza Izzo; Luis Gnecco
001724, Notting Hill, 1999, Roger Michell, Richard Curtis, Hugh Grant; Julia Roberts; Richard McCabe
001725, The Dukes of Hazzard, 2005, Jay Chandrasekhar, John O'Brien; John O'Brien, Seann William Scott; Johnny Knoxville; Jessica Simpson
001726, 9(I), 2009, Shane Acker, Pamela Pettler; Shane Acker, Elijah Wood; Jennifer Connelly; Crispin Glover
001727, Safe House, 2012, Daniel Espinosa, David Guggenheim, Denzel Washington; Ryan Reynolds; Robert Patrick
001728, House on Haunted Hill, 1959, William Castle, Robb White, Vincent Price; Carol Ohmart; Richard Long
001729, A Little Princess, 1995, Alfonso Cuarón, Frances Hodgson Burnett; Richard LaGravenese, Liesel Matthews; Eleanor Bron; Liam Cunningham
001730, Child of Grace, 2014, Ian McCrudden, Willie Hagan; Ian McCrudden, Tom Hildreth; Maggie Elizabeth Jones; Ted Levine
001731, Secondhand Lions, 2003, Tim McCanlies, Tim McCanlies, Haley Joel Osment; Michael Caine; Robert Duvall
001732, Learning to Drive, 2014, Isabel Coixet, Sarah Kernochan, Patricia Clarkson; Ben Kingsley; Grace Gummer
001733, Ride Along, 2014, Tim Story, Greg Coolidge; Jason Mantzoukas, Ice Cube; Kevin Hart; Tika Sumpter
001734, The Exorcism of Emily Rose, 2005, Scott Derrickson, Paul Harris Boardman; Scott Derrickson, Laura Linney; Tom Wilkinson; Shohreh Aghdashloo
001735, Dreamcatcher, 2003, Lawrence Kasdan, Stephen King; William Goldman, Morgan Freeman; Thomas Jane; Jason Lee
001736, Superfast!, 2015, Jason Friedberg; Aaron Seltzer, Jason Friedberg; Aaron Seltzer, Lili Mirojnick; Andrea Navedo; Daniel Booko
001737, Match Point, 2005, Woody Allen, Woody Allen, Scarlett Johansson; Jonathan Rhys Meyers; Emily Mortimer
001738, The Conjuring 2: The Enfield Poltergeist, 2016, James Wan, Carey Hayes; Chad Hayes, Vera Farmiga; Patrick Wilson; Frances O'Connor
