ID,Title,Author,Price,Edition,ASIN,ISBN_13,ISBN_10,Paperback,Series,Publisher_dummy,Publisher,Publication_Date,Sold_by,Language,Product Dimensions,Shipping Weight
452,"Matlab, Third Edition: A Practical Introduction to Programming and Problem Solving",Stormy Attaway Ph.D.  Boston University,$24.01 - $40.91,3rd Edition,,978-0124058767,124058760,560 pages,,Butterworth-Heinemann,Butterworth-Heinemann,,,English,1.2 x 7.5 x 9.2 inches,2.5 pounds (View shipping rates and policies)
453,Introduction to Digital Communications,Ali Grami Ph.D.,$101.99 ,1st Edition,,978-0124076822,124076823,,,Academic Press,Academic Press,,,English,9.4 x 7.5 x 1.3 inches,3.2 pounds (View shipping rates and policies)
454,From Machine-to-Machine to the Internet of Things: Introduction to a New Age of Intelligence,Jan Holler# Vlasios Tsiatsis# Catherine Mulligan# Stefan Avesand# Stamatis Karnouskos# David Boyle,$51.69 ,1st Edition,,,,,,,,,,,,
455,"Computer Organization and Design, Fifth Edition: The Hardware/Software Interface ",David A. Patterson# John L. Hennessy,$33.11 - $54.73,5th Edition,,978-0124077263,124077269,800 pages,The Morgan Kaufmann Series in Computer Architecture and Design,Morgan Kaufmann,Morgan Kaufmann,,,English,9.1 x 7.4 x 1.3 inches,3 pounds (View shipping rates and policies)
456,"Designing with the Mind in Mind, Second Edition: Simple Guide to Understanding User Interface Design Guidelines",Jeff Johnson,$33.60 ,2nd Edition,,978-0124079144,124079148,250 pages,,Morgan Kaufmann,Morgan Kaufmann,,,English,7.5 x 0.6 x 9.2 inches,1.2 pounds (View shipping rates and policies)
457,"Pattern Recognition and Signal Analysis in Medical Imaging, Second Edition",Anke Meyer-Baese# Volker J. Schmid# Anke Meyer-Baese,$109.49 ,2nd Edition,,978-0124095458,124095453,,,Academic Press,Academic Press,,,English,1.2 x 7.8 x 9.5 inches,2 pounds (View shipping rates and policies)
458,"Using Information to Develop a Culture of Customer Centricity: Customer Centricity, Analytics, and Information Utilization",David Loshin# Abie Reifer,$16.17 ,1st Edition,,978-0124105430,124105432,108 pages,,Morgan Kaufmann,Morgan Kaufmann,,,English,6 x 0.2 x 9 inches,5.6 ounces (View shipping rates and policies)
459,"The Basics of Hacking and Penetration Testing, Second Edition: Ethical Hacking and Penetration Testing Made Easy",Patrick Engebretson,$12.30 ,2nd Edition,,978-0124116443,124116442,225 pages,Basics,Syngress,Syngress,,,English,7.5 x 0.5 x 9.2 inches,1.1 pounds (View shipping rates and policies)
460,"Measuring the User Experience, Second Edition: Collecting, Analyzing, and Presenting Usability Metrics ",William Albert# Thomas Tullis,$25.83 ,2nd Edition,,978-0124157811,124157815,320 pages,Interactive Technologies,Morgan Kaufmann,Morgan Kaufmann,,,English,1 x 7.5 x 9 inches,1.4 pounds (View shipping rates and policies)
461,Knowledge-based Configuration: From Research to Business Cases,Alexander Felfernig# Lothar Hotz# Claire Bagley# Juha Tiihonen,$72.57 ,1st Edition,,978-0124158177,012415817X,,,Morgan Kaufmann,Morgan Kaufmann,,,English,7.5 x 0.9 x 9.2 inches,2.1 pounds (View shipping rates and policies)
462,"Computer Animation, Third Edition: Algorithms and Techniques",Rick Parent,$34.10 ,3rd Edition,,978-0124158429,124158420,,,Morgan Kaufmann,Morgan Kaufmann,,,English,9.4 x 7.8 x 1.8 inches,2.7 pounds (View shipping rates and policies)
463,"Cyber Warfare, Second Edition: Techniques, Tactics and Tools for Security Practitioners",Jason Andress# Steve Winterfeld,$20.66 ,2nd Edition,,978-0124166721,124166725,324 pages,,Syngress,Syngress,,,English,7.5 x 0.7 x 9.2 inches,1.2 pounds (View shipping rates and policies)
464,Computational Materials Engineering: Achieving High Accuracy and Efficiency in Metals Processing Simulations,Maciej Pietrzyk Ph.D.# Lukasz Madej Ph.D.# Maciej Pietrzyk Ph.D.# Lukasz Rauch Ph.D.# Lukasz Madej Ph.D.# Danuta Szeliga Ph.D.# Lukasz Rauch Ph.D.,$121.64 - $170.00,1st Edition,,978-0124167070,124167071,,,Butterworth-Heinemann,Butterworth-Heinemann,,,English,1.2 x 6 x 9 inches,1.4 pounds (View shipping rates and policies)
465,"Eleventh Hour CISSP, Second Edition: Study Guide",Eric Conrad# Seth Misenar# Joshua Feldman,$15.49 ,2nd Edition,,978-0124171428,124171427,216 pages,,Syngress,Syngress,,,English,7.5 x 0.5 x 9.2 inches,1.1 pounds (View shipping rates and policies)
466,"Big Data Analytics: From Strategic Planning to Enterprise Integration with Tools, Techniques, NoSQL, and Graph",David Loshin,$16.17 ,1st Edition,,978-0124173194,124173195,142 pages,,Morgan Kaufmann,Morgan Kaufmann,,,English,6 x 0.3 x 9 inches,9.6 ounces (View shipping rates and policies)
467,"Elementary Linear Programming with Applications, Second Edition ",Bernard Kolman# Robert E. Beck,$84.32 ,2nd Edition,,978-0124179103,012417910X,,Computer Science & Scientific Computing Series,Academic Press,Academic Press,,,English,6.1 x 1.1 x 9.2 inches,2 pounds (View shipping rates and policies)
468,Python Forensics: A workbench for inventing and sharing digital forensic technology,Chet Hosmer,$52.46 ,1st Edition,,,,,,,,,,,,
469,The Science and Technology of Counterterrorism: Measuring Physical and Electronic Security Risk,Carl Young,$66.45 ,1st Edition,,978-0124200562,124200567,512 pages,,Butterworth-Heinemann,Butterworth-Heinemann,,,English,7.5 x 1.2 x 9.2 inches,2.4 pounds (View shipping rates and policies)
470,Measuring and Managing Information Risk: A FAIR Approach,Jack Freund# Jack Jones,$37.46 ,1st Edition,,978-0124202313,124202314,408 pages,,Butterworth-Heinemann,Butterworth-Heinemann,,,English,7.5 x 0.9 x 9.2 inches,1.9 pounds (View shipping rates and policies)
471,Self-Checking and Fault-Tolerant Digital Design ,Parag K. Lala,$17.95 - $115.00,1st Edition,,978-0124343702,124343708,,The Morgan Kaufmann Series in Computer Architecture and Design,Morgan Kaufmann,Morgan Kaufmann,,,English,7 x 0.6 x 10 inches,1.2 pounds (View shipping rates and policies)
472,On Time Technology Implementation,Bennet Lientz# Kathryn Rea# Bennet Lientz,$30.22 - $62.96,1st Edition,,978-0124499751,124499759,293 pages,,Routledge,Routledge,,,English,6 x 0.7 x 9 inches,1 pounds (View shipping rates and policies)
473,Computer-Graphic Facial Reconstruction,John G. Clement# Murray K. Marks,$109.49 ,1st Edition,,978-0124730519,124730515,,,Academic Press,Academic Press,,,English,1 x 7.8 x 9.8 inches,3.2 pounds
474,Understanding Motion Capture ,Alberto Menache,$51.16 ,1st Edition,,978-0124906303,124906303,238 pages,The Morgan Kaufmann Series in Computer Graphics,Morgan Kaufmann,Morgan Kaufmann,,,English,9.2 x 7.3 x 0.7 inches,1.3 pounds
475,Artificial Intelligence for Games ,Ian Millington,$0.00 ,1st Edition,,978-0124977822,124977820,,The Morgan Kaufmann Series in Interactive 3D Technology,CRC Press,CRC Press,,,English,9.6 x 8 x 1.5 inches,3.3 pounds
476,Linear Programs & Related Problems: A Volume in the COMPUTER SCIENCE and SCIENTIFIC COMPUTING Series,Evar D. Nering# Albert W. Tucker,$19.96 - $115.00,1st Edition,,978-0125154406,125154402,,Computer Science and Scientific Computing,Academic Press,Academic Press,,,English,6 x 1.3 x 9 inches,2.1 pounds (View shipping rates and policies)
477,Multimedia and Hypertext: The Internet and Beyond ,Jakob Nielsen,$58.36 , ,,978-0125184083,125184085,480 pages,Interactive Technologies,Morgan Kaufmann ,Morgan Kaufmann,,,English,7.5 x 1 x 9.2 inches,1.9 pounds (View shipping rates and policies)
478,Computer Organization and Assembly Language Programming ,James Lyle Peterson,$20.30 ,n Edition,,978-0125522502,125522509,,Computer science and applied mathematics,Academic Pr,Academic Pr,,,English,9.3 x 6.4 x 1.2 inches,1.7 pounds
479,Physically Based Rendering: From Theory to Implementation ,Matt Pharr# Greg Humphreys,$8.46 , ,,978-0125531801,012553180X,,The Interactive 3d Technology Series,Morgan Kaufmann ,Morgan Kaufmann,,,English,9.4 x 8.3 x 1.9 inches,5.5 pounds
480,The Computer Animator's Technical Handbook ,Lynn Pocock# Judson Rosebush,$2.46 ,,,978-0125588218,125588216,400 pages,The Morgan Kaufmann Series in Computer Graphics,Morgan Kaufmann,Morgan Kaufmann,,,English,10.1 x 8 x 0.9 inches,2.9 pounds
481,The Persona Lifecycle: Keeping People in Mind Throughout Product Design ,John Pruitt# Tamara Adlin,$42.39 ,1st Edition,,978-0125662512,125662513,744 pages,Interactive Technologies,Morgan Kaufmann,Morgan Kaufmann,,,English,9.2 x 8 x 1.2 inches,3.4 pounds
482,"High Dynamic Range Imaging: Acquisition, Display, and Image-Based Lighting ",Erik Reinhard# Greg Ward# Sumanta Pattanaik# Greg Ward# Paul Debevec# Sumanta Pattanaik,$45.48 ,1st Edition,,978-0125852630,125852630,,The Morgan Kaufmann Series in Computer Graphics,Morgan Kaufmann,Morgan Kaufmann,,,English,9.5 x 7.8 x 1.2 inches,2.9 pounds
483,"Digital Picture Processing, Volume 1, Second Edition ",Azriel Rosenfeld# Avinash C. Kak# A. C. Kak,$6.49 ,2nd Edition,,978-0125973014,125973012,,Computer Science and Applied Mathematics (Book 1),Morgan Kaufmann,Morgan Kaufmann,,,English,0.8 x 6.5 x 9.5 inches,14.4 ounces
484,"Digital Picture Processing, Volume 2, Second Edition ",Azriel Rosenfeld,$28.36 ,2nd Edition,,978-0125973021,125973020,,Computer Science and Scientific Computing (Book 2),Academic Press,Academic Press,,,English,0.8 x 6.2 x 9.5 inches,1.6 pounds
485,Computer-Aided Control System Design,H. H. Rosenbrock,$0.00 , ,,978-0125974509,125974507,,,Academic Pr ,Academic Pr,,,English,9 x 6 x 0.7 inches,1 pounds
486,Input Devices ,Sol Sherr,$5.49 ,,,978-0126399707,126399700,,Computer Graphics -- Technology and Applications,Academic Pr ,Academic Pr,,,English,,1.3 pounds
487,Enabling Technologies for Cultured Neural Networks,David A. Stenger# Thomas M. McKenna,$25.00 , ,,978-0126659702,126659702,,,Academic Press ,Academic Press,,,English,0.8 x 6.2 x 9.5 inches,1.5 pounds
488,Structure-Based Editors and Environments ,Gerd Szwillus# Lisa Neal# Gerd Szwillus,$4.92 ,y First printing Edition,,978-0126818901,126818908,,Computers and People,Academic Press,Academic Press,,,English,1 x 6.2 x 9.5 inches,1.5 pounds
489,Effective Color Displays: Theory and Practice ,David Travis,$4.66 ,1st Edition,,978-0126976908,126976902,,Computers and People,Academic Press,Academic Press,,,English,9.2 x 6.2 x 0.9 inches,1.4 pounds
490,Mathematical Optimization in Computer Graphics and Vision ,Luiz Velho# Paulo Carvalho# Jonas Gomes# Luiz de Figueiredo# Jonas Gomes,$19.34 - $39.95,1st Edition,,978-0127159515,127159517,,The Morgan Kaufmann Series in Computer Graphics,Morgan Kaufmann,Morgan Kaufmann,,,English,0.8 x 7.5 x 9.2 inches,1.7 pounds (View shipping rates and policies)
491,Dictionary of Information Science and Technology,Carolyn Watters,$57.49 ,1st Edition,,978-0127385105,012738510X,,,Academic Press,Academic Press,,,English,6 x 0.8 x 9 inches,1.4 pounds (View shipping rates and policies)
492,Broadband Hybrid Fiber/Coax Access System Technologies ,Winston I. Way,$0.00 , ,,978-0127387550,127387552,,Telecommunications,Academic Press ,Academic Press,,,English,9.3 x 6.3 x 1.1 inches,1.8 pounds
493,Usability in Practice: How Companies Develop User-Friendly Products,Michael E. Wiklund,$9.83 , ,,978-0127512501,127512500,512 pages,,Morgan Kaufmann Pub ,Morgan Kaufmann Pub,,,English,1.2 x 8.2 x 9.2 inches,2.2 pounds
494,"Augmented Reality Law, Privacy, and Ethics: Law, Society, and Emerging AR Technologies",Brian Wassom,$39.35 ,1st Edition,,978-0128002087,128002085,360 pages,,Syngress,Syngress,,,English,7.5 x 0.8 x 9.2 inches,1.7 pounds (View shipping rates and policies)
495,Google Earth Forensics: Using Google Earth Geo-Location in Digital Forensic Investigations,Michael Harrington# Michael Cross# Michael Harrington,$30.63 ,1st Edition,,978-0128002162,128002166,122 pages,,Syngress,Syngress,,,English,7.5 x 0.3 x 9.2 inches,10.4 ounces (View shipping rates and policies)
496,"Understanding Your Users, Second Edition: A Practical Guide to User Research Methods ",Kathy Baxter# Catherine Courage# Kelly Caine,$46.99 ,2nd Edition,,,,,,,,,,,,
497,Studying and Designing Technology for Domestic Life: Lessons from Home,Tejinder K. Judge# Carman Neustaedter,$64.22 ,,,,,,,,,,,,,
498,Cloud Networking: Understanding Cloud-based Data Center Networks,Gary Lee,$46.99 ,1st Edition,,978-0128007280,128007281,238 pages,,Morgan Kaufmann,Morgan Kaufmann,,,English,7.5 x 0.6 x 9.2 inches,1 pounds (View shipping rates and policies)
499,Cyber-Physical Attacks: A Growing Invisible Threat,George Loukas PhD in Network Security  Imperial College  UK# MEng in Electrical Engineering and Computer Science  NTUA  Greece.,$39.46 ,1st Edition,,978-0128012901,128012900,270 pages,,Butterworth-Heinemann,Butterworth-Heinemann,,,English,9.1 x 7.4 x 0.6 inches,1.2 pounds (View shipping rates and policies)
500,Application of Big Data for National Security: A Practitioner's Guide to Emerging Technologies,Babak Akhgar# Gregory B. Saathoff# Hamid R. Arabnia# Richard Hill# Andrew Staniforth# Petra Saskia Bayerl,$54.99 ,1st Edition,,978-0128019672,128019670,316 pages,,Butterworth-Heinemann,Butterworth-Heinemann,,,English,7.5 x 0.7 x 9.2 inches,1.5 pounds (View shipping rates and policies)
501,HCISPP Study Guide,Timothy Virtue# Justin Rainey# Timothy Virtue,$46.99 ,1st Edition,,978-0128020432,128020431,210 pages,,Syngress,Syngress,,,English,7.5 x 0.5 x 9.2 inches,12.8 ounces (View shipping rates and policies)
502,View-based 3-D Object Retrieval ,Yue Gao# Qionghai Dai,$37.95 ,1st Edition,,978-0128024195,128024194,154 pages,Computer Science Reviews and Trends,Morgan Kaufmann,Morgan Kaufmann,,,English,6 x 0.4 x 9 inches,9.6 ounces (View shipping rates and policies)
503,"CISSP Study Guide, Third Edition",Eric Conrad# Seth Misenar# Eric Conrad# Joshua Feldman,$48.52 ,3rd Edition,,,,,,,,,,,,
504,"Data Analysis in the Cloud: Models, Techniques and Applications ",Domenico Talia# Paolo Trunfio# Fabrizio Marozzo# Paolo Trunfio,$35.99 ,1st Edition,,978-0128028810,128028815,150 pages,Computer Science Reviews and Trends,Elsevier,Elsevier,,,English,6 x 0.3 x 9 inches,9.6 ounces (View shipping rates and policies)
505,Automating Open Source Intelligence: Algorithms for OSINT ,Robert Layton# Paul A Watters# Robert Layton,$39.95 ,1st Edition,,,,,,,,,,,,
506,Cloud Storage Security: A Practical Guide ,Aaron Wheeler# Michael Winburn# Aaron Wheeler,$34.34 ,1st Edition,,978-0128029305,128029307,144 pages,Computer Science Reviews and Trends,Elsevier,Elsevier,,,English,6 x 0.3 x 9 inches,9.6 ounces (View shipping rates and policies)
507,PCI DSS 3.1: The Standard That Killed SSL,Branden R. Williams,$24.09 - $29.95,1st Edition,,978-0128046272,128046279,44 pages,,Syngress,Syngress,,,English,6 x 0.1 x 9 inches,4 ounces (View shipping rates and policies)
508,Ad Hoc Mobile Wireless Networks: Protocols and Systems,Chai K Toh,$66.39 ,1st Edition,,978-0130078179,130078174,336 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 0.8 x 8.9 inches,12.6 ounces (View shipping rates and policies)
509,Graphics for Engineers with AutoCAD 2002 ,James H. Earle,$69.08 ,6th Edition,,978-0130081728,130081728,584 pages,,Prentice Hall,Prentice Hall,,,English,8 x 1.5 x 9 inches,2.4 pounds
510,"A Gift of Fire: Social, Legal, and Ethical Issues for Computers and the Internet ",Sara Baase,$3.99 ,2nd Edition,,978-0130082152,130082155,464 pages,,Prentice Hall,Prentice Hall,,,English,7.1 x 0.7 x 9.2 inches,1.4 pounds
511,Trusted Computing Platforms: TCPA Technology in Context,Siani Pearson,$0.01 - $49.99,1st Edition,,978-0130092205,130092207,322 pages,,Prentice Hall,Prentice Hall,,,English,7.3 x 0.7 x 9.2 inches,1.6 pounds (View shipping rates and policies)
512,"Core Servlets and Javaserver Pages: Core Technologies, Vol. 1 ",Marty Hall# Larry Brown# Marty Hall,$5.71 - $38.38,2nd Edition,,978-0130092298,130092290,736 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 1.4 x 9.1 inches,2.5 pounds (View shipping rates and policies)
513,SyncML: Synchronizing and Managing Your Mobile Data,Uwe Hansmann# Riku Mettala# Uwe Hansmann# Apratim Purakayastha# Riku Mettala# Peter Thompson# Apratim Purakayastha,$5.19 ,,,978-0130093691,130093696,320 pages,,Pearson Education,Pearson Education,,,English,7 x 0.9 x 9.3 inches,1.3 pounds
514,Probabilistic Systems and Random Signals,Abraham H Haddad,$139.97 - $220.44,1st Edition,,978-0130094551,130094552,520 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.1 x 9.3 inches,1.6 pounds (View shipping rates and policies)
515,Multithreaded Programming with Win32,Thuan Q. Pham# Pankaj K. Garg# Thuan Q. Pham,$0.49 ,,,978-0130109125,130109126,320 pages,Prentice Hall Series on Microsoft Technologies,Prentice Hall Ptr ,Prentice Hall Ptr,,,English,0.8 x 7.2 x 9.5 inches,3.3 pounds
516,MCSE: Internetworking with Microsoft TCP/IP on Microsoft Windows NT 4.0,Kostya Ryvkin# Dave Houde# Tim Hoffman# Dave Houde,$5.79 ,,,978-0130112514,130112518,,Prentice Hall Series on Microsoft Technologies,Prentice Hall PTR ,Prentice Hall PTR,,,English,9.5 x 7.4 x 1.4 inches,3.2 pounds
517,Information Technology: Inside and Outside,David Cyganski# John A. Orr# Richard F. Vaz# John A. Orr,$8.06 - $151.29, ,,978-0130114969,130114960,338 pages,,Prentice Hall ,Prentice Hall,,,English,8 x 0.9 x 9.9 inches,1.6 pounds (View shipping rates and policies)
518,Learning Bayesian Networks,Richard E. Neapolitan,$51.49 - $124.71, ,,978-0130125347,130125342,674 pages,,Pearson ,Pearson,,,English,7 x 1.6 x 9 inches,2.5 pounds (View shipping rates and policies)
519,Introduction to Data Communications and Networking,Wayne Tomasi,$30.89 - $172.82, ,,978-0130138286,130138282,992 pages,,Pearson ,Pearson,,,English,8 x 1.9 x 9.9 inches,4.4 pounds (View shipping rates and policies)
520,Linux Shells by Example ,Ellie Quigley,$21.14 ,Pap/Cdr Edition,,978-0130147110,130147117,761 pages,Open Source Technology,Prentice Hall PTR,Prentice Hall PTR,,,English,7 x 2.2 x 9.2 inches,3.2 pounds
521,Fundamentals of Speech Recognition,Lawrence Rabiner# Biing-Hwang Juang# Lawrence Rabiner,$49.88 - $80.90,1st Edition,,978-0130151575,130151572,496 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.2 x 9 inches,1.9 pounds (View shipping rates and policies)
522,Fundamentals of Digital Signal Processing,Joyce Van de Vegte,$111.55 - $209.03, ,,978-0130160775,130160776,810 pages,,Prentice Hall ,Prentice Hall,,,English,7.5 x 1.8 x 9.1 inches,3.4 pounds (View shipping rates and policies)
523,Feedback Control Systems ,John Van de Vegte,$1.57 ,3rd Edition,,978-0130163790,130163791,496 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.1 x 9.3 inches,1.5 pounds
524,Linux Desk Reference ,Scott Hawkins# Joe Brockmeier,$16.44 ,1st Edition,,978-0130163912,130163910,545 pages,Open Source Technology,Prentice Hall,Prentice Hall,,,English,9 x 6 x 0.9 inches,1.5 pounds
525,Introduction to MFC Programming with Visual C++,Richard M. Jones,$13.98 - $40.60, ,,978-0130166296,130166294,336 pages,,Prentice Hall ,Prentice Hall,,,English,8.3 x 0.8 x 10.8 inches,1.8 pounds (View shipping rates and policies)
526,Multithreaded Programming with Java Technology,Bil Lewis# Daniel J. Berg# Sun Microsystems Press# Daniel J. Berg,$24.99 - $42.49,1st Edition,,978-0130170071,130170070,461 pages,,Prentice Hall,Prentice Hall,,,English,7.2 x 1.1 x 9.2 inches,2.2 pounds (View shipping rates and policies)
527,Information Security: Protecting the Global Enterprise,Donald L. Pipkin,$22.49 - $44.99,1st Edition,,978-0130173232,130173231,364 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 0.9 x 9 inches,1.7 pounds (View shipping rates and policies)
528,End-User Information Systems: Implementing Individual and Work Group Technologies ,Elizabeth A. Regan# Bridget N. O'Connor# Elizabeth A. Regan,$14.98 ,2nd Edition,,978-0130182647,130182648,,,Prentice Hall,Prentice Hall,,,English,8 x 1.2 x 10 inches,2.8 pounds
529,Internet Architecture: An Introduction to IP Protocols,Uyless D. Black# Uyless Black# Uyless D. Black,$0.93 ,1st Edition,,978-0130199065,130199060,,Prentice Hall Series in Advanced Communications Technologies,Prentice Hall PTR,Prentice Hall PTR,,,English,9.5 x 7.2 x 1.3 inches,2.1 pounds
530,Visual Basic Object and Component Handbook,Peter Vogel,$1.15 ,,,978-0130230737,130230731,668 pages,Prentice Hall Series on Microsoft Technologies,Prentice Hall PTR,Prentice Hall PTR,,,English,9.2 x 7 x 1.8 inches,3 pounds
531,Windows Shell Programming ,Scott Seely,$0.76 ,,,978-0130254962,130254967,556 pages,Prentice Hall Series on Microsoft Technologies,Prentice Hall PTR ,Prentice Hall PTR,,,English,9.2 x 7 x 1.6 inches,2.5 pounds
532,Internet Telephony: Call Processing Protocols,Uyless Black,$19.99 ,1st Edition,,978-0130255655,130255653,,Prentice Hall Series in Advanced Communications Technologies,Pearson Education,Pearson Education,,,English,7.2 x 1.2 x 9.3 inches,2.3 pounds
533,Windows CE 3.0: Application Programming ,Nick Grattan# Marshall Brain,$0.01 ,,,978-0130255921,130255920,544 pages,Prentice Hall Series on Microsoft Technologies,Prentice Hall PTR ,Prentice Hall PTR,,,English,6.9 x 1.5 x 9.1 inches,2.3 pounds
534,Programming the Windows 32 API and UNIX System Services ,Don E. Merusi,$1.98 ,,,978-0130259691,130259691,320 pages,Prentice Hall Series on Microsoft Technologies,Prentice Hall PTR ,Prentice Hall PTR,,,English,7 x 0.9 x 9.2 inches,1.5 pounds
535,Core Python Programming ,Wesley J. Chun,$8.32 , ,,978-0130260369,130260363,816 pages,Open Source Technology,Prentice Hall PTR ,Prentice Hall PTR,,,English,6.9 x 2.1 x 9.2 inches,3.6 pounds
536,Wireless Network Evolution: 2G to 3G,Vijay K. Garg,"$2,142.89 ",1st Edition,,978-0130280770,130280771,800 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.7 x 9.4 inches,2.8 pounds (View shipping rates and policies)
537,MPLS-Based VPNs Designing Advanced Virtual Networks,Peter Tomsu# Gerhard Wieser,$3.10 ,1st Edition,,978-0130282255,130282251,,Prentice Hall Series in Computer Networking and Distributed,Pearson Education,Pearson Education,,,English,7.3 x 0.9 x 9.6 inches,1.9 pounds
538,Next Generation Optical Networks: The Convergence of IP Intelligence and Optical Technologies,Peter Tomsu# Christian Schmutzer,$3.93 - $54.99,1st Edition,,978-0130282262,013028226X,352 pages,,Prentice Hall,Prentice Hall,,,English,6.8 x 0.9 x 9 inches,1.2 pounds (View shipping rates and policies)
539,Windows 2000 Registry,Paul Sanna,$0.77 ,,,978-0130300645,130300640,463 pages,Prentice Hall Series on Microsoft Technologies,Prentice Hall PTR,Prentice Hall PTR,,,English,7 x 1.1 x 9.2 inches,2.2 pounds
540,Integrating Linux and Windows,Mike McCune,$0.40 ,,,978-0130306708,130306703,416 pages,Open Source Technology,Prentice Hall PTR,Prentice Hall PTR,,,English,9.2 x 7 x 1 inches,1.7 pounds
541,StarOffice 5.2 Companion,Floyd Jones# Solveig Haugland,$39.99 ,,,,,,,,,,,,,
542,Computer Vision,Linda G. Shapiro# George C. Stockman,$97.20 - $199.92,1st Edition,,978-0130307965,130307963,608 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.4 x 9.3 inches,2.3 pounds (View shipping rates and policies)
543,"Multimedia Communication Systems: Techniques, Standards, and Networks",K. R. Rao# Zoran S. Bojkovic# K. R. Rao# Dragorad A. Milovanovic# Zoran S. Bojkovic,$8.96 - $57.30,1st Edition,,978-0130313980,013031398X,576 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 1.3 x 9 inches,2 pounds (View shipping rates and policies)
544,Introduction to Electrical and Computer Engineering,Charles B. Fleddermann# Martin Bradshaw# Charles B. Fleddermann,$4.24 ,1st Edition,,978-0130333636,130333638,136 pages,,Prentice Hall,Prentice Hall,,,English,7.9 x 0.4 x 9.9 inches,10.4 ounces
545,Computer Systems: A Programmer's Perspective,Randal E. Bryant# David R. O'Hallaron,$20.17 ,US ed Edition,,978-0130340740,013034074X,,,Prentice Hall,Prentice Hall,,,English,7.5 x 1.6 x 9.5 inches,3.7 pounds
546,Computer Graphics Using Java 2D and 3D,Hong Zhang# Y. Daniel Liang,$89.99 - $142.32,1st Edition,,978-0130351180,130351180,632 pages,,Pearson,Pearson,,,English,7.9 x 1.1 x 9.8 inches,1.9 pounds (View shipping rates and policies)
547,Practical Statistics by Example Using Microsoft Excel and Minitab ,Terry L. Sincich# David M. Levine# David F. Stephan,$35.74 - $89.36,2nd Edition,,978-0130415219,130415219,789 pages,,Pearson,Pearson,,,English,7.9 x 1.5 x 9.9 inches,3.2 pounds (View shipping rates and policies)
548,Error Control Coding ,Shu Lin# Daniel J. Costello,$22.57 ,2nd Edition,,978-0130426727,130426725,1272 pages,,Prentice Hall,Prentice Hall,,,English,7.4 x 1.9 x 9.3 inches,4.4 pounds (View shipping rates and policies)
549,The Essential Guide to Internet Business Technology,Gail Honda# Kipp Martin,$4.00 - $34.99,1st Edition,,978-0130428202,130428205,464 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.1 x 9 inches,1.6 pounds (View shipping rates and policies)
550,Sun Certified Enterprise Architecture for J2EE Technology Study Guide,Mark Cade# Simon Roberts# Mark Cade,$8.98 - $41.64,1st Edition,,978-0130449160,130449164,224 pages,,Prentice Hall,Prentice Hall,,,English,6.8 x 0.8 x 9 inches,13.6 ounces (View shipping rates and policies)
551,Consolidation in the Data Center: Simplifying IT Environments to Reduce Total Cost of Ownership,David Hornby# Ken Pepple,$0.01 - $58.00, ,,978-0130454959,130454958,240 pages,,Prentice Hall ,Prentice Hall,,,English,7 x 0.6 x 9 inches,1.1 pounds (View shipping rates and policies)
552,Human-Computer Interaction ,Alan Dix# Janet E. Finlay# Alan Dix# Gregory D. Abowd# Janet E. Finlay# Russell Beale# Gregory D. Abowd,$28.95 - $103.68,3rd Edition,,978-0130461094,130461091,,,Prentice Hall,Prentice Hall,,,English,7.6 x 1.5 x 9.3 inches,3.5 pounds (View shipping rates and policies)
553,Disaster Recovery Planning: Preparing for the Unthinkable ,Jon William Toigo,$9.99 ,3rd Edition,,978-0130462824,130462829,,,Prentice Hall,Prentice Hall,,,English,7.2 x 1.3 x 9.4 inches,1.9 pounds
554,C++ for Business Programmers ,John C. Molluzzo,$17.85 ,2nd Edition,,978-0130467003,130467006,848 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.6 x 9.2 inches,2.6 pounds
555,Computer Networking,Stanford H. Rowe,$17.69 ,United States ed Edition,,978-0130487377,130487376,,,Prentice Hall,Prentice Hall,,,English,8.2 x 1.2 x 11.1 inches,3.4 pounds
556,Computer Simulated Experiments for Electronic Devices Using Electronics Workbench Multisim ,Richard H. Berube,$84.95 - $91.89,3rd Edition,,978-0130487841,130487848,400 pages,,Prentice Hall,Prentice Hall,,,English,8.1 x 0.9 x 10.8 inches,1.8 pounds (View shipping rates and policies)
557,Computer Simulated Experiments for Digital Electronics Using Electronics Workbench Multisim ,Richard H. Berube,$69.65 - $97.43,2nd Edition,,978-0130487858,130487856,352 pages,,Prentice Hall,Prentice Hall,,,English,8.2 x 0.8 x 10.7 inches,1.7 pounds (View shipping rates and policies)
558,Computer Numerical Control: Machining and Turning Centers,Robert Quesada,$70.30 - $111.99, ,,978-0130488671,130488674,560 pages,,Prentice Hall ,Prentice Hall,,,English,8.2 x 1.2 x 10.7 inches,2.6 pounds (View shipping rates and policies)
