ID, Title, Author1, Author2, Author3, Publisher, ISBN13, Publication Date, Pages, Product dimensions, Sales rank, Ratings count, Rating value, Paperback price, Hardcover price, Nookbook price, Audiobook price
717,Carra: My Autobiography,Jamie Carragher, , ,Transworld Publishers Limited,9780552157421,11/01/2009,384,4.96(w) x 7.78(h) x 1.33(d),"847,929", , ,$12.51, ,$9.99, 
718,An Autobiography of Buffalo Bill (Colonel W. F. Cody),Buffalo Bill, , ,MVB E-Books,9783655118917,01/01/2010, , ,"849,368", , ,$21.74, ,$2.99, 
719,The Autobiography of Mulan (Book One of the Princess Series),Katie Morris, , ,Golgotha Press,2940012363275,04/17/2011, , ,"850,250",4,4.0, , , , 
720,"Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the United States, Canada, and England",Samuel Ringgold Ward, , ,Heraklion Press,9781629215921,09/20/2013, , ,"850,776", , ,$5.99, ,$0.99, 
721,"Best of the Sellers Martin Luther King Jr ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )",Resounding Wind Publishing,autobiography eBooks Publishing,diary Best of the Sellers,Resounding Wind Publishing,2940150053342,09/24/2014, , ,"851,555",1,5.0, , , , 
722,The Autobiography of Saint Thérèse of Lisieux,Saint Thérèse of Lisieux, , ,Therese Books,2940011915932,10/29/2010, , ,"852,821",1,5.0, , , , 
723,"Reed Anthony, Cowman: Classic American Western Novel",Andy Adams, , ,Lulu.com,9781105620355,03/27/2012, , ,"573,214", , ,$11.99,$28.95,$1.99, 
724,Blessed - The Autobiography,George Best, , ,Ebury Publishing,9781446447918,04/24/2012,512, ,"852,978", , ,$14.61, ,$9.99, 
725,Bushwhacker: Autobiography of Samuel S. Hildebrand,Samuel S. Hildebrand, , ,Big Byte Books,2940149402861,04/16/2014, , ,"854,692", , , , , , 
726,Written,Herself: Autobiographies of American Women - An Anthology, , ,Knopf Doubleday Publishing Group,9780679736332,11/28/1992,688,5.23(w) x 7.93(h) x 1.48(d),"854,693", , ,$19.42, ,$15.99, 
727,The Autobiography of W. E. B. Du Bois: A Soliloquy on Viewing My Life from the Last Decade of Its First Century,W. E. B. Du Bois, , ,"International Publishers Company, Incorporated",9780717802340,06/01/1968,448, ,"869,590", , ,$14.11, , , 
728,Autobiography of a People: Three Centuries of African American History Told,Those Who Lived It, , ,Knopf Doubleday Publishing Group,9780385492799,12/28/2000,576,5.24(w) x 8.00(h) x 1.20(d),"870,822", , ,$16.88, ,$17.99, 
729,The Autobiography of LeRoi Jones,Amiri Baraka, , ,"Chicago Review Press, Incorporated",9781556522314,03/28/1997,496,6.00(w) x 9.00(h) x 0.94(d),"875,251", , ,$20.80, ,$11.99, 
730,Along This Way: The Autobiography of James Weldon Johnson,James Weldon Johnson, , ,Penguin Publishing Group,9780143105176,01/29/2008,448,5.25(w) x 8.00(h) x 1.00(d),"876,027", , ,$18.00, , , 
731,Flight into Freedom and Beyond: The Autobiography of the Co-Founder of the Findhorn Community,Eileen Caddy,Liza Hollingshead, ,Findhorn Press,9781899171644,10/28/2002,262,5.98(w) x 9.09(h) x 0.79(d),"876,364", , , , , , 
732,"Miracle Man: Nolan Ryan, the Autobiography",Nolan Ryan, , ,"Nelson, Thomas, Inc.",9780849991172,03/28/1992,292,6.02(w) x 9.02(h) x 0.72(d),"878,432", , ,$17.98, , , 
733,Mary's Journey a Life in the Arts: An Autobiography - My Own Story,Mary Aversano, , ,Xlibris Corporation,9781479763153,01/10/2013,82,6.00(w) x 9.00(h) x 0.20(d),"881,238", , ,$15.99,$24.99,$3.99, 
734,Kids on the Loose: An Autobiography,RoseMary Quinn Gabriel, , ,CreateSpace Publishing,9781512348859,06/06/2015,170,6.00(w) x 9.00(h) x 0.36(d),"881,874", , , , , , 
735,An Autobiography of Black Chicago,Dempsey Travis, , ,Agate,9781932841671,02/11/2014,400,5.90(w) x 8.90(h) x 0.70(d),"882,160",1,4.0,$14.04, ,$9.99, 
736,A Lakota War Book from the Little Bighorn: The Pictographic ''Autobiography of Half Moon'',Castle  McLaughlin, , ,Harvard,9780981885865,12/23/2013,368,7.00(w) x 9.90(h) x 1.20(d),"886,483", , , , , , 
737,Autobiography of a Geisha,Sayo Masuda, , ,Columbia University Press,9780231129510,05/25/2005,216,5.32(w) x 8.10(h) x 0.57(d),"886,828",4,3.8,$18.25, , , 
738,Come up and Get Me: An Autobiography of Colonel Joe Kittinger,Joe Kittinger,Craig Ryan, ,University of New Mexico Press,9780826348043,04/16/2011,272,6.00(w) x 8.90(h) x 0.80(d),"888,706",3,5.0,$18.54, ,$8.49, 
739,Theodore Roosevelt: Autobiography,Theodore Roosevelt, , ,CreateSpace Independent Publishing Platform,9781494866907,01/02/2014,536,6.00(w) x 9.00(h) x 1.08(d),"892,146", , , , , , 
740,The Autobiography of William Carlos Williams,William Carlos Williams, , ,New Directions Publishing Corporation,9780811202268,01/28/1967,1,5.20(w) x 7.90(h) x 1.10(d),"893,225",2,4.0,$15.18, , , 
741,Summer Wine & Other Stories: My Autobiography,Peter Sallis, , ,"John Blake Publishing, Limited",9781782197454,04/01/2014,288,7.60(w) x 5.00(h) x 0.90(d),"894,241", , , , , , 
742,The Autobiography of Bertrand Russell,Bertrand Russell, , ,Taylor &amp; Francis,9780415228626,03/28/2000,760,5.10(w) x 7.80(h) x 1.70(d),"894,323", , , , , , 
743,Life Of Teresa Of Jesus: The Autobiography Of Teresa Of Avila,E. Allison Peers,Teresa of Avila, ,Crown Religion/Business/Forum,9780385011099,10/28/1991,464,5.49(w) x 8.23(h) x 0.98(d),"894,451", , ,$14.43, , , 
744,Once A Dancer...: An Autobiography,Allegra Kent, , ,University Press of Florida,9780813034409,10/04/2009,352,6.00(w) x 9.00(h) x 0.80(d),"895,244", , ,$20.21, , , 
745,Stages: An Autobiography (Large Print 16pt),Jay Osmond, , ,"ReadHowYouWant, LLC",9781459665385,05/16/2013,348,7.00(w) x 10.00(h) x 0.72(d),"895,801", , , , , , 
746,The Rough Riders and An Autobiography,Theodore Roosevelt, , ,Library of America,9781931082655,10/28/2004,864,5.09(w) x 8.10(h) x 1.41(d),"896,754",1,5.0, , , , 
747,A Man of Many Dreams: An Autobiography in Poetry,Anthony Cardelli, , ,"iUniverse, Incorporated",9781469798240,12/26/2014,400,6.00(w) x 9.00(h) x 1.00(d),"896,786", , ,$25.95,$35.95,$3.99, 
748,Cheech and Chong: The Unauthorized Autobiography,Tommy Chong, , ,Gallery Books,9781439153529,08/04/2009,272,5.36(w) x 8.18(h) x 0.70(d),"897,249",4,4.0,$15.10, ,$13.99, 
749,In a Fisherman's Language: An Autobiography,Captain James Arruda Henry, , ,Fisherman's Language LLC,9780985747107,06/30/2012,80,5.90(w) x 8.80(h) x 0.30(d),"897,459", , , , , , 
750,Black Hawk: An Autobiography,Black Hawk,Donald Jackson, ,University of Illinois Press,9780252723254,03/28/1975,192,6.00(w) x 9.00(h) x 0.60(d),"897,741", , ,$13.17, , , 
751,He Touched Me: An Autobiography,Benny Hinn, , ,"Nelson, Thomas, Inc.",9780785266006,04/10/2001,224,5.50(w) x 8.30(h) x 0.80(d),"898,375",3,4.6,$13.51, ,$9.99, 
752,Beyond the Light Barrier: The Autobiography of Elizabeth Klarer,Elizabeth Klarer, , ,"Light Technology Publishing, LLC",9781891824777,03/01/2009,244,5.90(w) x 8.90(h) x 0.50(d),"901,987", , , , , , 
753,Unapologetically Black: Doni Glover Autobiography,Donald Morton Glover, , ,Bmorenews.com,9780692404386,03/28/2015,206,6.00(w) x 9.00(h) x 0.47(d),"902,819", , , , , , 
754,Let's Get to the Nitty Gritty: The Autobiography of Horace Silver / Edition 1,Horace Silver, , ,University of California Press,9780520253926,08/01/2007,282,6.00(w) x 9.00(h) x 0.63(d),"902,925", , ,$22.93, , , 
755,"Autobiography of Mark Twain, Vol. 1: The Complete and Authoritative Edition",Mark Twain, , ,"Blackstone Audio, Inc.",9781441778437,11/15/2010,20,7.82(w) x 11.80(h) x 1.95(d),"903,803", , , , , ,$39.95
756,"Alone atop the Hill: The Autobiography of Alice Dunnigan, Pioneer of the National Black Press",Carol Booker, , ,University of Georgia Press,9780820347981,02/15/2015,240,6.00(w) x 9.10(h) x 1.20(d),"903,944", , , , , , 
757,If It Die . . .: An Autobiography,Andre Gide, , ,Knopf Doubleday Publishing Group,9780375726064,05/08/2001,336,5.19(w) x 8.00(h) x 0.75(d),"904,354", , ,$14.31, ,$13.99, 
758,All in the Day's Work: An Autobiography,Ida M. Tarbell, , ,University of Illinois Press,9780252071362,06/28/2003,448,6.00(w) x 9.00(h) x 1.10(d),"904,385", , ,$22.00, , , 
759,The Autobiography of Bishop Isaac Lane: With a Short History of the C. M. E. Church in America and of Methodism,Isaac Lane, , ,CreateSpace Publishing,9781453757123,08/23/2010,106,7.44(w) x 9.69(h) x 0.22(d),"905,103", , , , , , 
760,The Autobiography of Mark Rutherford,Hale White, , ,CreateSpace Publishing,9781507806913,01/31/2015,98,6.00(w) x 9.00(h) x 0.20(d),"906,890", , ,$14.90, ,$2.99, 
761,Freedom Technique - Path to Awareness and Love with Autobiography,Lester Levenson: You Can Have,Be,and Do Whatever You Will or Desire. Freedom Technique Brings You Very Real,CreateSpace Publishing,9781466367975,11/19/2011,252,5.50(w) x 8.50(h) x 0.53(d),"907,412", , , , , , 
762,"The Colored Cadet at West Point: Autobiography of Lieutenant Henry Ossian Flipper, U. S. A., First Graduate of Color from the U. S. Military Academy",Henry Ossian Flipper, , ,University of Nebraska Press,9780803268906,10/01/1998,332,5.25(w) x 8.00(h) x 0.80(d),"908,425", , , , , , 
763,Survival: The Autobiography of a Young Woman Who Survived the Horrors of the Nazi Death Camps,Magda Herzberger, , ,1st World Library,9780976582113,04/28/2005,392,6.00(w) x 9.00(h) x 0.87(d),"908,896", , , , , , 
764,"Walking in the Shade: Volume Two of My Autobiography, 1949 -1962",Doris Lessing, , ,HarperCollins Publishers,9780060929565,09/28/1998,432,5.31(w) x 8.00(h) x 0.97(d),"909,006",5,4.0,$14.78, ,$11.85, 
765,The Bread of Time: Toward an Autobiography,Philip Levine, , ,University of Michigan Press,9780472086252,12/10/2001,304,5.46(w) x 8.08(h) x 0.98(d),"910,549", , ,$21.12, , , 
766,Ralph Rucci: Autobiography of a Fashion Designer,Ralph Rucci, , ,Bauer and Dean,9780983863298,07/20/2013,256,11.40(w) x 11.70(h) x 1.80(d),"910,653", , , , , , 
767,Keane: The Autobiography,Roy Keane, , ,Penguin Publishing Group,9780718193997,01/18/2012,336,5.00(w) x 7.70(h) x 1.10(d),"910,678", , ,$13.29, , , 
768,Autobiographies,Kathleen Raine, , ,Sophia Perennis,9781597313322,06/27/2009,386,6.00(w) x 9.00(h) x 0.86(d),"910,804", , ,$21.95, , , 
769,A Man Called White: The Autobiography of Walter White / Edition 1,Walter White, , ,University of Georgia Press,9780820316987,02/01/1995,392,5.50(w) x 8.50(h) x 0.96(d),"913,192", , ,$15.12, , , 
770,"Autobiography of James Oyer, Was a ERIE-Lackawanna, ConRail Conductor, Went to Hell and Back Because of Three Bad Train Wrecks",James E. Oyer, , ,Dorrance Publishing,9781480901155,07/01/2015,112,6.00(w) x 9.00(h) x 0.30(d),"913,599", , , , , , 
771,The Autobiography Of Black Hawk,Black Hawk, , ,Cosimo,9781602067615,10/15/2007,160,6.00(w) x 9.00(h) x 0.37(d),"917,494", , , , , , 
772,Quebec Boy: An Autobiography,Robert Goulet, , ,Vineyard Press,9781930067103,03/28/2001,192,5.50(w) x 8.50(h) x 0.44(d),"918,905", , , , , , 
773,Up From Slavery: The Autobiography of Booker T. Washington,Booker T. Washington, , ,CreateSpace Independent Publishing Platform,9781494802127,12/26/2013,184,5.50(w) x 8.50(h) x 0.39(d),"919,054", , ,$8.95, , , 
774,General George Crook: His Autobiography,George Crook,Martin F. Schmitt, ,University of Oklahoma Press,9780806119823,04/28/1986,370,5.50(w) x 8.50(h) x 0.82(d),"922,138", , , , , , 
775,Autobiography of Friedrich Froebel,Friedrich Froebel, , ,CreateSpace Publishing,9781514174449,06/02/2015,82,6.00(w) x 9.00(h) x 0.17(d),"923,864", , ,$6.99, ,$0.00, 
776,I Walked With Giants: The Autobiography of Jimmy Heath,Jimmy Heath,Joseph McLaren, ,Temple University Press,9781439901984,01/28/2010,344,6.20(w) x 9.00(h) x 1.00(d),"924,252", , , ,$36.00,$31.99, 
777,My Life And Work - Autobiography,Henry Ford, , ,"Standard Publications, Incorporated",9781604241464,09/06/2007,304,7.50(w) x 9.25(h) x 0.64(d),"924,552", , , , , , 
778,Curly Grandma's Letters: Writing to Kids & Capturing Your Autobiography,Anita Bryce, , ,"Tate Publishing &amp; Enterprises, L.L.C.",9781606046128,09/08/2009,174,7.90(w) x 9.90(h) x 0.40(d),"927,219", , , , , , 
779,"Burn, Ba",! BURN!: The Autobiography of Magnificent Montague, , ,University of Illinois Press,9780252076848,07/31/2009,216,5.20(w) x 7.90(h) x 0.70(d),"927,808", , ,$18.40, , , 
780,"Joachim Prinz, Rebellious Rabbi: An Autobiography: The German and Early American Years",Michael A. Meyer, , ,Indiana University Press,9780253349392,11/28/2007,320,6.12(w) x 9.25(h) x 1.07(d),"928,003", , , , , , 
781,Curriculum Vitae: A Volume of Autobiography,Muriel Spark, , ,New Directions Publishing Corporation,9780811219235,05/18/2011,224,5.20(w) x 8.10(h) x 0.70(d),"928,768", , ,$13.50, ,$10.49, 
782,And Speaking of Scorpions...: Autobiography of Former Scorpions Drummer Herman Ze German Rarebell,Herman Rarebell, , ,CreateSpace Publishing,9781463601102,08/25/2011,252,6.00(w) x 9.00(h) x 0.53(d),"929,330", , , , , , 
783,Autobiography of a Restless Mind: Reflections on the Human Condition,Dee Hock, , ,"iUniverse, Incorporated",9781475978681,05/03/2013,248,6.00(w) x 9.00(h) x 0.52(d),"929,474", , ,$19.95,$29.95,$3.49, 
784,Jane Eyre an Autobiography,MS Charlotte Bronte,MR F. H. Townsend, ,CreateSpace Independent Publishing Platform,9781495422522, ,360,6.00(w) x 9.00(h) x 0.75(d),"931,431", , ,$15.90, ,$2.99, 
785,The Fall: An Autobiography of an Alter Ego,Elle, , ,"Outskirts Press, Inc.",9780989254502,07/05/2013,372,5.50(w) x 8.50(h) x 0.83(d),"931,679",1,5.0, , , , 
786,Treasure Hunting: A Journey Toward Intimacy-an Autobiography,Howard S. Fuller, , ,AuthorHouse,9781425976422,03/28/2007,308,6.00(w) x 9.00(h) x 0.69(d),"931,683", , ,$19.95, ,$3.99, 
787,Autobiography of a Freedom Rider: My Life as a Foot Soldier for Civil Rights,Thomas M. Armstrong,Natalie R. Bell, ,"Health Communications, Incorporated",9780757316036,05/02/2011,216,5.50(w) x 8.40(h) x 0.80(d),"931,788",1,5.0,$12.86, ,$10.49, 
788,"Bradford Washburn, An Extraordinary Life: The Autobiography of a Mountaineering Icon",Bradford Washburn, , ,Pruett Publishing Company,9780882409078,05/01/2013,320,6.00(w) x 8.90(h) x 0.70(d),"932,315",1,5.0,$19.99, ,$10.99, 
789,Hoyt Street: An Autobiography,Mary Helen Ponce, , ,University of New Mexico Press,9780826340207,02/28/2006,348,(w) x 9.00(h) x 1.00(d),"934,263",3,3.3,$19.95, , , 
790,The Autobiography of St. Ignatius,St. Ignatius, , ,CreateSpace Publishing,9781463510978,05/27/2011,172,6.00(w) x 9.00(h) x 0.37(d),"934,448", , ,$15.00,$23.95,$2.99, 
791,"Therefore, Choose Life...: An Autobiography",Moisey Wolf, , ,Oregon State University Press,9780870717444,06/01/2014,272,6.00(w) x 8.90(h) x 0.90(d),"935,161", , , , , , 
792,Autobiography of St. Therese of Lisieux,Saint Therese, , ,Martino Fine Books,9781614273103,06/06/2012,332,6.00(w) x 9.00(h) x 0.74(d),"936,826", , , , , , 
793,"I Never Stopped Smiling: The Inspirational Autobiography of Kevin Daley, Formerly Known as Harlem Globetrotter Great Special K",Kevin Daley, , ,3DQUEST,9780692237687,08/01/2014,246,5.50(w) x 8.50(h) x 0.56(d),"937,014",1,5.0, , , , 
794,"Autobiography of Dr. William Henry Johnson, Respectfully Dedicated to His Adopted Home, the Capital City of the Empire State",William Henry Johnson, , ,HardPress Publishing,9781290165303,01/10/2012, ,6.00(w) x 9.00(h) x 0.65(d),"937,520", , ,$27.95, ,$0.00, 
795,Standing Fast: The Autobiography of Roy Wilkins,Roy Wilkins,Tom Mathews, ,Da Capo Press,9780306805660,04/28/1994,384,5.94(w) x 9.18(h) x 0.93(d),"937,956", , ,$15.36, , , 
796,The Wheel of Life: The Autobiography of a Western Buddhist,John Blofeld, , ,"Shambhala Publications, Inc.",9780877730347,11/28/1988,297,6.00(w) x 9.00(h) x 0.75(d),"938,024", , , , , , 
797,The Autobiographies of Frederick Douglass,Frederick Douglass, , ,CreateSpace Publishing,9781514387184,06/17/2015,610,8.50(w) x 11.00(h) x 1.23(d),"939,200", , , , , , 
798,Scientist; A Metaphysical Autobiography,Lilly, , ,Ronin Publishing,9780914171720,10/28/1996,208,5.56(w) x 8.46(h) x 0.81(d),"939,531", , ,$14.53, , , 
799,My Inventions: Autobiography of a Genius,Nikola Tesla, , ,CreateSpace Publishing,9781508707110,03/03/2015,70,6.00(w) x 9.00(h) x 0.17(d),"940,590", , , , , , 
800,Slide Rule,Nevil Shute, , ,Knopf Doubleday Publishing Group,9780307474186,10/12/2010,300, ,"537,748",3,3.7,$12.12,$34.95,$12.99, 
801,Douglass: Autobiographies,Frederick Douglass, , ,Library of America,9780940450790,02/28/1994,1100,5.13(w) x 8.16(h) x 1.50(d),"942,844", , , ,$31.81, , 
802,Lemony Snicket: The Unauthorized Autobiography (Turtleback School & Library Binding Edition),Lemony Snicket, , ,Demco Media,9780613672092,12/01/2003,240,5.20(w) x 6.90(h) x 0.90(d),"943,054", , , , , , 
803,Grace Abounding: With Other Spiritual Autobiographies,John Bunyan, , ,"Oxford University Press, USA",9780199554980,12/15/2008,336,7.60(w) x 5.00(h) x 0.70(d),"944,667", , ,$10.79, , , 
804,"Autobiography, Sigmund Freud",Sigmund Freud, , ,Read Books Design,9781447425694,09/14/2011,114,5.50(w) x 8.50(h) x 0.27(d),"945,614", , ,$26.95, ,$5.49, 
805,Beggars of Life: A Hobo Autobiography,Jim Tully, , ,AK Press,9781902593784,11/01/2003,256,6.00(w) x 9.00(h) x 0.50(d),"946,626", , , , , , 
806,Heathen Days: Mencken's Autobiography: 1890-1936,H. L. Mencken, , ,Johns Hopkins University Press,9780801885327,09/01/2006,320,6.00(w) x (h) x (d),"946,930", , , , , , 
807,Telling Lies in Modern American Autobiography,Timothy Dow Adams, , ,The University of North Carolina Press,9780807859957,01/27/2011,224,5.88(w) x (h) x 6.00(d),"947,901", , ,$39.01, , , 
808,The Autobiography I Wrote Begins at a Zaghawa Village in Darfur,Mahmoud Suleiman, , ,AuthorHouse,9781452025872,07/01/2010,256,6.00(w) x 9.00(h) x 0.58(d),"947,975", , , , , , 
809,An Autobiography of a Nobody,Irene Gough, , ,AuthorHouse,9781477239599,10/26/2012,512, ,"948,190",1,1.0,$28.92, ,$4.49, 
810,R.G. Smith: The Man and His Art an Autobiography,R. G. Smith, , ,"Schiffer Publishing, Ltd.",9780764307553,02/28/1999,112,11.37(w) x 8.83(h) x 0.77(d),"950,398", , , , , , 
811,The Americanization of Edward Bok: Autobiography,Edward William Bok, , ,CreateSpace Independent Publishing Platform,9781494727208,12/18/2013,408,6.00(w) x 9.00(h) x 0.84(d),"950,672", , , , , , 
812,Factory Lives: Four Nineteenth-Century Working-Class Autobiographies (1828-1850) / Edition 1,James R. Simmons,Jr, ,Broadview Press,9781551112725,04/10/2007,498,5.50(w) x 8.50(h) x 0.75(d),"950,674", , , , , , 
813,The Autobiography of Mary Magdalene,Beth Green, , ,Lulu.com,9781257550289,08/26/2011, , ,"952,579", , , , , , 
814,"From Morning 'til Evening: The Autobiography of Grady W. Powell, Sr.",Grady Wilson Powell, , ,Brandylane Publishers,9781939930309,01/28/2015,142,6.00(w) x 9.00(h) x 0.30(d),"954,164", , , , , , 
815,Happy Days: Official Illustrated Autobiography,Olly Murs, , ,"Hodder &amp; Stoughton, Ltd.",9781444760842,10/11/2012, , ,"956,491", , , , , , 
816,jUsT plAiN StUpiD: An Unauthorized Autobiography,Robert N. D'Ambola, , ,Dog Ear Publishing,9781457539848,07/31/2015,180,5.50(w) x 8.50(h) x 0.41(d),"956,791", , ,$12.95,$19.95, , 
817,Fabricating Lives: Explorations in American Autobiography,Herbert Leibowitz, , ,Knopf Doubleday Publishing Group,9780307830524,04/03/2013,400, ,"957,654", , , ,$12.99,$12.99, 
818,"Through the Mists; or, Leaves from the autobiography of a Soul in Paradise, etc. - Scholar's Choice Edition",Robert James Lees, , ,Scholar's Choice,9781297017353,02/14/2015,394,7.44(w) x 9.69(h) x 0.81(d),"957,847", , , , , , 
819,The Americanization of Edward Bok : the autobiography of a Dutch boy fifty years after,Edward William Bok, , ,MVB E-Books,9783655033999,01/01/2010, , ,"958,572", , , ,$23.96,$2.99, 
820,Don't Hassel the Hoff: The Autobiography,David Hasselhoff,Peter Thompson, ,St. Martin's Press,9781429901062,05/15/2007,304, ,"961,881",11,4.6, , , , 
821,Fathers and Sons: The Autobiography of a Family,Alexander Waugh, , ,Knopf Doubleday Publishing Group,9780767927482,05/13/2008,480,5.31(w) x 8.00(h) x 1.04(d),"963,921", , ,$11.71, ,$11.99, 
822,No Choice: Autobiography of an Arabian-American Lady,Fadwa Kassis Naser, , ,Xlibris US,9781477172612,11/08/1999,130, ,"967,045", , ,$8.49, ,$8.49, 
823,Raging Bull: My Autobiography,Phil Vickery, , ,HarperCollins Publishers,9780007382903,09/30/2010,320, ,"968,287", , , ,$9.99,$9.99, 
824,Slave to Secrets: An Autobiography of Self Discovery,Vittoria Wyatt, , ,Balboa Press,9781452588568,12/31/2013,108, ,"972,287",3,4.6,$8.99,$28.95,$3.49, 
825,Private Domain: An Autobiography / Edition 1,Paul Taylor, , ,University of Pittsburgh Press,9780822956990,04/28/1999,406,6.00(w) x 9.00(h) x 1.00(d),"973,267", , ,$18.63, , , 
826,Geological Observations on Volcanic Islands (Illustrated and Bundled with The Autobiography of Charles Darwin),Charles Darwin, , ,AS Team,2940150490260,09/26/2014, , ,"978,484", , ,$15.99, ,$1.09, 
827,In the Deep End - The Autobiography of Neil Brooks,Neil Brooks, , ,Jacksons Publications,9780956975423,02/25/2013,358,6.00(w) x 9.00(h) x 0.80(d),"978,627", , , , , , 
828,Daredevil Vol. 4: The Autobiography of Matt Murdock,Marvel Comics, , ,Marvel,9780785198024,12/08/2015,104, ,"989,363", , ,$13.08, , , 
829,Autobiography (Dodo Press),Albert Parsons, , ,Dodo Press,9781409943648,03/28/2009,48,6.00(w) x 9.00(h) x 0.12(d),"989,812", , , , , , 
830,Teardrops that Tango: Autobiography of Amber Cote,Amber Cote, , ,AuthorHouse,9781504900058,03/30/2015,316,6.00(w) x 9.00(h) x 0.71(d),"990,088", , ,$19.95,$28.99,$3.49, 
831,Time and Space: A Poetic Autobiography,Juan Ramón Jiménez, , ,"iUniverse, Incorporated",9781462087334,04/28/2000,204, ,"990,530", , ,$14.95, ,$3.49, 
832,Abba Eban: An Autobiography,Abba Eban, , ,Plunkett Lake Press,2940150068360,02/06/2015,628, ,"993,232", , , ,$9.99,$9.99, 
833,Fragments Of An Autobiography,Felix Moscheles, , ,Echo Library,9781406857412,08/05/2010,188,6.00(w) x 9.00(h) x 0.43(d),"994,305", , ,$16.90, ,$0.00, 
834,Mayor: An Autobiography,Edward I. Koch, , ,Simon &amp; Schuster,9781451660722,06/28/2011,256, ,"994,759",1,1.0,$3.70, ,$11.99, 
835,The Autobiography of an Ex-Colored Man,James Johnson, , ,CreateSpace Publishing,9781456314880,10/27/2010,92,8.00(w) x 10.00(h) x 0.19(d),"994,886", , ,$8.99, , , 
836,THE DAYS GONE BY: AN AUTOBIOGRAPHY OF RICHARD ALTENHOFF SR. AS WRITTEN BY HIMSELF,Richard Altenhoff Sr., , ,AuthorHouse,9781477291719,11/21/2012, , ,"995,207", , ,$13.95, ,$3.99, 
837,And Still Ricky Villa: My Autobiography,Ricky Villa,Joel Miller,Federico Ardiles,Vision Sports Publishing,9781907637438,10/01/2010,288, ,"997,438", , , ,$28.95,$4.49, 
838,The Urban Underworld in Late Nineteenth-Century New York: The Autobiography of George Appo with Related Documents / Edition 1,Timothy Gilfoyle, , ,Bedford/St. Martin's,9780312607623,01/04/2013,208,5.30(w) x 8.20(h) x 0.60(d),"997,475", , , , , , 
839,A Fortunate Life: The Autobiography of Paddy Ashdown,Paddy Ashdown, , ,Aurum Press,9781845136475,09/25/2010,416, ,"998,032", , , , , , 
840,Douglas Higgins: Autobiography of a Yorkshire Christian,Douglas Higgins, , ,Banner of Truth,9781848714885,08/28/2014, ,4.69(w) x 7.47(h) x 0.32(d),"998,470", , , , , , 
841,The Autobiography of a Flea,Anonymous, , ,Unforgotten Classics,2940148749905,11/20/2013, , ,"455,554", , , , , , 
842,Unauthorised Autobiography,Steve Nugent, , ,JMS Books LLC,2940013035492,08/22/2011, , ,"829,243", , , , , , 
843,Sun Chief: The Autobiography of a Hopi Indian,Leo W. Simmons,Don C. Talayesva, ,Yale University Press,9780300002270,09/28/1963,488,5.20(w) x 8.05(h) x 1.03(d),"1,000,027", , ,$22.36, , , 
844,"WALNUTS: My autobiography of healing from mental illness, A raw living journal of jokes, A meditation",Brian Melsky, , ,AuthorHouse,9781481733113,04/26/2013,90, ,"1,000,783", , ,$12.79, ,$3.99, 
845,A Shirt Box Full of Songs: The Autobiography,Barbara Dickson, , ,"Headline Book Publishing, Limited",9780755363865,05/24/2012, , ,"1,000,881", , , , , , 
846,The Autobiography of Methuselah,John Kendrick Bangs, , ,Start Classics,9781609778095,04/17/2014,78, ,"1,001,025", , ,$6.99, ,$0.99, 
847,"Sounds of Silence Breaking: Women, Autobiography, Curriculum (Complicated Conversation Series, Volume 1)",Janet L. Miller, , ,"Lang, Peter Publishing, Incorporated",9780820461571,02/02/2005,287,6.06(w) x 9.04(h) x 0.68(d),"1,002,330", , ,$30.28, , , 
848,"The Snow-Shoe Itinerant: An Autobiography of the Rev. John L. Dyer, Familiarly Known as Father Dryer, of the Colorado Conference, Methodist Episcopal Church (Classic Reprint)",John L. Dyer, , ,FB &amp;c Ltd,9781332453412,08/04/2015,380,6.00(w) x 9.00(h) x 0.78(d),"1,003,031", , , , , , 
849,The True Joy of Positive Living: An Autobiography,Norman Vincent Peale, , ,Open Road Media,9781504023320,09/29/2015,290, ,"1,007,405", , ,$10.49, ,$10.49, 
850,Willie's Game: An Autobiography,Stanley Cohen,Willie Mosconi, ,Open Road Media,9781453295267,09/22/2015,260, ,"1,008,233", , , , , , 
851,From Mafia Boss to the Cross: An Autobiography,Bruno Caporrimo,Dr Bruno Caporrimo, ,AuthorHouse,9781434323552,07/28/2007,224,6.00(w) x 9.00(h) x 0.51(d),"1,011,735", , ,$18.23, ,$3.99, 
852,Autobiography of an Aspiring Saint (The Other Voice in Early Modern Europe Series),Cecilia Ferrazzi, , ,University of Chicago Press,9780226244471,12/28/1996,136,6.00(w) x 9.00(h) x 0.40(d),"1,012,728", , ,$12.00,$43.00,$11.49, 
853,My Future Is in America: Autobiographies of Eastern European Jewish Immigrants,Jocelyn Cohen, , ,New York University Press,9780814716953,04/05/2008,329,6.00(w) x 9.00(h) x 0.69(d),"1,012,829", , ,$24.38, ,$17.21, 
854,The Autobiography of Maria Callas,Alma H. Bond,Frank Eckmair, ,Birch Brook Press,9780913559499,04/28/1998,219,6.35(w) x 9.39(h) x 1.02(d),"1,013,113",1,5.0,$16.47,$26.27, , 
